Id,pais,provincia_departamento,ciudad,property_type,operation_type,rooms,bedrooms,bathrooms,surface_total,currency,price
2674,Argentina,Capital Federal,Colegiales,Departamento,Venta,4.0,3.0,2.0,68.0,USD,169000.0
2675,Argentina,Capital Federal,Belgrano,Departamento,Venta,4.0,3.0,2.0,70.0,USD,230000.0
2676,Argentina,Capital Federal,San Nicolás,Departamento,Venta,7.0,4.0,2.0,145.0,USD,298000.0
2677,Argentina,Capital Federal,Retiro,Departamento,Venta,1.0,1.0,1.0,45.0,USD,149000.0
2678,Colombia,Valle del Cauca,Cali,Apartamento,Venta,3.0,3.0,2.0,59.0,USD,38536.0
2679,Argentina,Bs.As. G.B.A. Zona Sur,La Plata,Departamento,Venta,2.0,1.0,1.0,48.0,USD,110000.0
2680,Argentina,Capital Federal,Palermo,Departamento,Venta,2.0,1.0,1.0,43.0,USD,175000.0
2681,Argentina,Santa Fe,Rosario,Departamento,Venta,3.0,2.0,2.0,100.0,USD,235000.0
2682,Argentina,Capital Federal,Palermo,Departamento,Venta,2.0,1.0,1.0,37.0,USD,137000.0
2683,Colombia,Antioquia,Bello,Apartamento,Venta,3.0,3.0,2.0,58.0,USD,67437.0
2684,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,Venta,2.0,1.0,1.0,45.0,USD,65000.0
2685,Argentina,Capital Federal,Recoleta,Departamento,Venta,2.0,1.0,1.0,36.0,USD,112000.0
2686,Colombia,Atlántico,Barranquilla,Apartamento,Venta,2.0,2.0,3.0,136.0,USD,147261.0
2687,Argentina,Capital Federal,Barrio Norte,Departamento,Venta,8.0,6.0,3.0,210.0,USD,696000.0
2688,Argentina,Buenos Aires Costa Atlántica,Pinamar,Departamento,Venta,2.0,1.0,1.0,45.0,USD,97000.0
2689,Argentina,Capital Federal,Parque Patricios,Departamento,Venta,2.0,1.0,1.0,35.0,USD,34900.0
2690,Argentina,Bs.As. G.B.A. Zona Sur,La Plata,Departamento,Venta,2.0,1.0,1.0,46.0,USD,80000.0
2691,Argentina,Capital Federal,Chacarita,Departamento,Venta,2.0,1.0,1.0,51.0,USD,120555.0
2692,Argentina,Capital Federal,Palermo,Departamento,Venta,2.0,1.0,1.0,33.0,USD,98000.0
2693,Argentina,Capital Federal,Palermo,Departamento,Venta,2.0,1.0,1.0,38.0,USD,98900.0
2694,Argentina,Capital Federal,Palermo,Departamento,Venta,3.0,2.0,2.0,110.0,USD,500000.0
2695,Argentina,Capital Federal,Almagro,Departamento,Venta,2.0,1.0,1.0,30.0,USD,83000.0
2696,Colombia,Valle del Cauca,Cali,Apartamento,Venta,3.0,3.0,3.0,114.0,USD,178915.0
2697,Colombia,Valle del Cauca,Cali,Apartamento,Venta,3.0,3.0,4.0,240.0,USD,203688.0
2698,Argentina,Bs.As. G.B.A. Zona Sur,Avellaneda,Departamento,Venta,4.0,2.0,2.0,90.0,USD,205000.0
2699,Argentina,Neuquén,Añelo,Departamento,Venta,2.0,1.0,1.0,75.0,USD,128000.0
2700,Colombia,Antioquia,Envigado,Apartamento,Venta,3.0,3.0,2.0,150.0,USD,123865.0
2701,Argentina,Bs.As. G.B.A. Zona Norte,Tigre,Departamento,Venta,3.0,1.0,1.0,60.0,USD,100000.0
2702,Argentina,Bs.As. G.B.A. Zona Norte,Pilar,Departamento,Venta,3.0,2.0,2.0,76.0,USD,120000.0
2703,Colombia,Antioquia,Envigado,Apartamento,Venta,3.0,3.0,2.0,78.0,USD,98541.0
2704,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,Venta,3.0,2.0,2.0,86.0,USD,280000.0
2705,Argentina,Santa Fe,Rosario,Departamento,Venta,2.0,1.0,1.0,45.0,USD,80000.0
2706,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,1.0,1.0,1.0,36.0,USD,35783.0
2707,Colombia,Cundinamarca,Madrid,Apartamento,Venta,3.0,3.0,2.0,60.0,USD,35783.0
2708,Argentina,Capital Federal,Barrio Norte,Departamento,Venta,4.0,3.0,2.0,76.0,USD,195000.0
2709,Argentina,Córdoba,Córdoba,Departamento,Venta,2.0,1.0,1.0,54.0,USD,78000.0
2710,Argentina,Capital Federal,Puerto Madero,Departamento,Venta,3.0,2.0,2.0,69.0,USD,279000.0
2711,Argentina,Bs.As. G.B.A. Zona Norte,Pilar,Departamento,Venta,1.0,1.0,1.0,30.0,USD,50000.0
2712,Argentina,Río Negro,Villa Cerro Catedral,Departamento,Venta,3.0,2.0,2.0,100.0,USD,200000.0
2713,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,3.0,3.0,2.0,94.0,USD,115607.0
2714,Argentina,Capital Federal,Palermo,Departamento,Venta,2.0,1.0,1.0,55.0,USD,129000.0
2715,Argentina,Capital Federal,Almagro,Departamento,Venta,2.0,1.0,1.0,42.0,USD,109000.0
2716,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,3.0,3.0,2.0,67.0,USD,71566.0
2717,Argentina,Capital Federal,Villa Crespo,Departamento,Venta,2.0,1.0,1.0,36.0,USD,95000.0
2718,Colombia,Atlántico,Barranquilla,Apartamento,Venta,3.0,3.0,4.0,128.0,USD,159648.0
2719,Colombia,Valle del Cauca,Cali,Apartamento,Venta,3.0,3.0,1.0,65.0,USD,33031.0
2720,Argentina,Capital Federal,Almagro,Departamento,Venta,3.0,2.0,1.0,50.0,USD,140000.0
2721,Argentina,Capital Federal,Villa Urquiza,Departamento,Venta,5.0,4.0,3.0,198.0,USD,450000.0
2722,Argentina,Capital Federal,Almagro,Departamento,Venta,4.0,3.0,3.0,101.0,USD,230000.0
2723,Argentina,Capital Federal,Villa del Parque,Departamento,Venta,3.0,2.0,1.0,48.0,USD,96000.0
2724,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,Venta,2.0,1.0,1.0,36.0,USD,68900.0
2725,Argentina,Capital Federal,Palermo,Departamento,Venta,5.0,3.0,5.0,291.0,USD,1900007.0
2726,Argentina,Capital Federal,Flores,Departamento,Venta,2.0,1.0,1.0,27.0,USD,49500.0
2727,Argentina,Capital Federal,Once,Departamento,Venta,2.0,1.0,1.0,38.0,USD,68000.0
2728,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,Venta,2.0,1.0,1.0,42.0,USD,69500.0
2729,Argentina,Neuquén,Lácar,Departamento,Venta,7.0,4.0,1.0,120.0,USD,166000.0
2730,Colombia,Antioquia,Medellín,Apartamento,Venta,3.0,3.0,2.0,83.0,USD,104597.0
2731,Argentina,Bs.As. G.B.A. Zona Norte,Tigre,Departamento,Venta,2.0,1.0,2.0,70.0,USD,270000.0
2732,Colombia,Atlántico,Barranquilla,Apartamento,Venta,3.0,3.0,2.0,100.0,USD,56427.0
2733,Argentina,Capital Federal,Monserrat,Departamento,Venta,2.0,1.0,1.0,56.0,USD,104900.0
2734,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,1.0,1.0,2.0,66.0,USD,264244.0
2735,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,Venta,1.0,1.0,1.0,17.0,USD,38900.0
2736,Argentina,Capital Federal,Boedo,Departamento,Venta,2.0,1.0,1.0,34.0,USD,80000.0
2737,Colombia,Antioquia,Bello,Apartamento,Venta,1.0,1.0,1.0,40.0,USD,33031.0
2738,Argentina,Capital Federal,Balvanera,Departamento,Venta,2.0,1.0,1.0,36.0,USD,83000.0
2739,Argentina,Capital Federal,Caballito,Departamento,Venta,2.0,1.0,1.0,29.0,USD,80000.0
2740,Colombia,Antioquia,Sabaneta,Apartamento,Venta,3.0,3.0,3.0,93.0,USD,82576.0
2741,Argentina,Neuquén,Neuquén,Departamento,Venta,2.0,1.0,1.0,52.0,USD,117500.0
2742,Argentina,Capital Federal,Almagro,Departamento,Venta,3.0,2.0,1.0,56.0,USD,145000.0
2743,Colombia,Atlántico,Barranquilla,Apartamento,Venta,3.0,3.0,2.0,90.0,USD,67437.0
2744,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,3.0,3.0,3.0,169.0,USD,247729.0
2745,Colombia,Atlántico,Barranquilla,Apartamento,Venta,3.0,3.0,3.0,102.0,USD,79824.0
2746,Colombia,Antioquia,Envigado,Apartamento,Venta,3.0,3.0,2.0,73.0,USD,74319.0
2747,Argentina,Capital Federal,Once,Departamento,Venta,2.0,1.0,1.0,44.0,USD,99000.0
2748,Argentina,Bs.As. G.B.A. Zona Norte,Vicente López,Departamento,Venta,2.0,1.0,1.0,40.0,USD,112000.0
2749,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,3.0,3.0,2.0,77.0,USD,107349.0
2750,Colombia,Antioquia,Envigado,Apartamento,Venta,3.0,3.0,2.0,89.0,USD,110102.0
2751,Argentina,Neuquén,Neuquén,Departamento,Venta,2.0,1.0,1.0,54.0,USD,155000.0
2752,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,3.0,3.0,4.0,225.0,USD,805120.0
2753,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,Venta,1.0,1.0,1.0,30.0,USD,51900.0
2754,Argentina,Capital Federal,Balvanera,Departamento,Venta,3.0,3.0,2.0,65.0,USD,125000.0
2755,Argentina,Bs.As. G.B.A. Zona Oeste,General Rodríguez,Departamento,Venta,2.0,1.0,1.0,70.0,USD,79000.0
2756,Colombia,Antioquia,Bello,Apartamento,Venta,3.0,3.0,4.0,126.0,USD,144509.0
2757,Argentina,Bs.As. G.B.A. Zona Norte,General San Martín,Departamento,Venta,2.0,1.0,1.0,44.0,USD,89000.0
2758,Argentina,Capital Federal,San Nicolás,Departamento,Venta,2.0,1.0,1.0,28.0,USD,67000.0
2759,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,2.0,2.0,2.0,70.0,USD,151390.0
2760,Argentina,Bs.As. G.B.A. Zona Norte,Tigre,Departamento,Venta,2.0,1.0,1.0,56.0,USD,125000.0
2761,Argentina,Capital Federal,Belgrano,Departamento,Venta,3.0,2.0,2.0,54.0,USD,144990.0
2762,Argentina,Córdoba,Villa Carlos Paz,Departamento,Venta,2.0,1.0,1.0,50.0,USD,72000.0
2763,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,3.0,3.0,3.0,101.0,USD,111478.0
2764,Colombia,Antioquia,Medellín,Apartamento,Venta,4.0,4.0,3.0,105.0,USD,104597.0
2765,Argentina,Capital Federal,Palermo,Departamento,Venta,3.0,2.0,2.0,66.0,USD,190000.0
2766,Argentina,Capital Federal,Barrio Norte,Departamento,Venta,4.0,3.0,3.0,115.0,USD,315000.0
2767,Colombia,Valle del Cauca,Cali,Apartamento,Venta,3.0,3.0,2.0,60.0,USD,24773.0
2768,Colombia,Antioquia,Medellín,Apartamento,Venta,3.0,3.0,3.0,204.0,USD,330306.0
2769,Colombia,Atlántico,Barranquilla,Apartamento,Venta,2.0,2.0,2.0,86.0,USD,90834.0
2770,Colombia,Valle del Cauca,Cali,Apartamento,Venta,3.0,3.0,3.0,90.0,USD,79824.0
2771,Argentina,Bs.As. G.B.A. Zona Sur,Quilmes,Departamento,Venta,2.0,1.0,1.0,52.0,USD,139000.0
2772,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,3.0,3.0,2.0,124.0,USD,165153.0
2773,Argentina,Bs.As. G.B.A. Zona Norte,San Isidro,Departamento,Venta,2.0,1.0,1.0,57.0,USD,190000.0
2774,Argentina,Salta,Salta,Departamento,Venta,2.0,1.0,1.0,38.0,USD,83000.0
2775,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,3.0,3.0,4.0,156.0,USD,217451.0
2776,Argentina,Santa Fe,Rosario,Departamento,Venta,8.0,4.0,3.0,180.0,USD,300000.0
2777,Colombia,Valle del Cauca,Cali,Apartamento,Venta,3.0,3.0,2.0,84.0,USD,70190.0
2778,Argentina,Buenos Aires Costa Atlántica,Santa Clara del Mar,Departamento,Venta,2.0,1.0,1.0,43.0,USD,68000.0
2779,Argentina,Bs.As. G.B.A. Zona Sur,La Plata,Departamento,Venta,4.0,2.0,1.0,49.0,USD,135000.0
2780,Argentina,Bs.As. G.B.A. Zona Sur,La Plata,Departamento,Venta,3.0,2.0,1.0,72.0,USD,125000.0
2781,Argentina,Capital Federal,Belgrano,Departamento,Venta,4.0,3.0,2.0,240.0,USD,825000.0
2782,Argentina,Capital Federal,Puerto Madero,Departamento,Venta,3.0,2.0,2.0,192.0,USD,1250000.0
2783,Argentina,Capital Federal,Almagro,Departamento,Venta,3.0,2.0,1.0,69.0,USD,165000.0
2784,Argentina,Capital Federal,Balvanera,Departamento,Venta,2.0,1.0,1.0,36.0,USD,90000.0
2785,Colombia,Antioquia,Bello,Apartamento,Venta,2.0,2.0,2.0,57.0,USD,41288.0
2786,Colombia,Santander,Bucaramanga,Apartamento,Venta,1.0,1.0,1.0,35.0,USD,18717.0
2787,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,3.0,3.0,3.0,81.0,USD,148637.0
2788,Argentina,Capital Federal,Belgrano,Departamento,Venta,3.0,2.0,1.0,81.0,USD,218000.0
2789,Colombia,Atlántico,Barranquilla,Apartamento,Venta,3.0,3.0,2.0,135.0,USD,123865.0
2790,Argentina,Capital Federal,Recoleta,Departamento,Venta,2.0,1.0,1.0,55.0,USD,205000.0
2791,Argentina,Mendoza,Godoy Cruz,Departamento,Venta,2.0,1.0,1.0,42.0,USD,79000.0
2792,Colombia,Valle del Cauca,Cali,Apartamento,Venta,2.0,2.0,2.0,57.0,USD,37159.0
2793,Argentina,Capital Federal,Palermo,Departamento,Venta,2.0,1.0,1.0,106.0,USD,440000.0
2794,Colombia,Antioquia,Envigado,Apartamento,Venta,3.0,3.0,3.0,170.0,USD,275255.0
2795,Colombia,Atlántico,Barranquilla,Apartamento,Venta,2.0,2.0,4.0,97.0,USD,123865.0
2796,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,1.0,1.0,2.0,92.0,USD,143132.0
2797,Argentina,Capital Federal,Barracas,Departamento,Venta,3.0,2.0,1.0,53.0,USD,130000.0
2798,Colombia,Antioquia,Medellín,Apartamento,Venta,4.0,4.0,2.0,106.0,USD,96339.0
2799,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,3.0,3.0,3.0,94.0,USD,116983.0
2800,Argentina,Buenos Aires Costa Atlántica,Costa del Este,Departamento,Venta,4.0,3.0,3.0,90.0,USD,205000.0
2801,Argentina,Capital Federal,Recoleta,Departamento,Venta,3.0,2.0,1.0,45.0,USD,125000.0
2802,Argentina,Santa Fe,Santa Fe,Departamento,Venta,4.0,2.0,2.0,65.0,USD,205000.0
2803,Argentina,Capital Federal,Palermo,Departamento,Venta,3.0,2.0,1.0,67.0,USD,210000.0
2804,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,Venta,2.0,1.0,1.0,30.0,USD,64900.0
2805,Argentina,Bs.As. G.B.A. Zona Oeste,Morón,Departamento,Venta,2.0,1.0,1.0,40.0,USD,73000.0
2806,Argentina,Capital Federal,Villa Urquiza,Departamento,Venta,1.0,1.0,1.0,33.0,USD,94900.0
2807,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,Venta,2.0,1.0,1.0,40.0,USD,79900.0
2808,Argentina,Capital Federal,Balvanera,Departamento,Venta,2.0,1.0,1.0,34.0,USD,82000.0
2809,Argentina,Bs.As. G.B.A. Zona Sur,La Plata,Departamento,Venta,3.0,2.0,1.0,60.0,USD,79000.0
2810,Argentina,Capital Federal,Caballito,Departamento,Venta,3.0,2.0,1.0,46.0,USD,150000.0
2811,Colombia,Valle del Cauca,Palmira,Apartamento,Venta,2.0,2.0,1.0,51.0,USD,33031.0
2812,Argentina,Bs.As. G.B.A. Zona Norte,General San Martín,Departamento,Venta,2.0,1.0,1.0,41.0,USD,79000.0
2813,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,2.0,2.0,2.0,69.0,USD,118359.0
2814,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,3.0,3.0,2.0,64.0,USD,51748.0
2815,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,2.0,2.0,3.0,100.0,USD,158271.0
2816,Argentina,Capital Federal,Almagro,Departamento,Venta,4.0,3.0,1.0,84.0,USD,180000.0
2817,Argentina,Bs.As. G.B.A. Zona Sur,Lanús,Departamento,Venta,3.0,2.0,1.0,49.0,USD,93000.0
2818,Colombia,Córdoba,Pueblo Nuevo,Apartamento,Venta,3.0,3.0,1.0,40.0,USD,44041.0
2819,Argentina,Bs.As. G.B.A. Zona Sur,Quilmes,Departamento,Venta,2.0,1.0,1.0,46.0,USD,77000.0
2820,Argentina,Capital Federal,Palermo,Departamento,Venta,4.0,3.0,2.0,82.0,USD,255000.0
2821,Argentina,Capital Federal,Villa Crespo,Departamento,Venta,2.0,1.0,1.0,54.0,USD,107500.0
2822,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,2.0,2.0,3.0,156.0,USD,357831.0
2823,Colombia,Atlántico,Barranquilla,Apartamento,Venta,3.0,3.0,4.0,192.0,USD,126617.0
2824,Argentina,Capital Federal,Congreso,Departamento,Venta,5.0,4.0,2.0,130.0,USD,163000.0
2825,Colombia,Atlántico,Puerto Colombia,Apartamento,Venta,3.0,3.0,4.0,109.0,USD,88081.0
2826,Argentina,Capital Federal,Palermo,Departamento,Venta,4.0,3.0,3.0,266.0,USD,1680000.0
2827,Argentina,Capital Federal,Belgrano,Departamento,Venta,4.0,3.0,2.0,127.0,USD,480000.0
2828,Colombia,Valle del Cauca,Cali,Apartamento,Venta,3.0,3.0,2.0,60.0,USD,35783.0
2829,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,2.0,2.0,2.0,98.0,USD,184421.0
2830,Colombia,Antioquia,Medellín,Apartamento,Venta,3.0,3.0,1.0,87.0,USD,121112.0
2831,Argentina,Capital Federal,Villa Crespo,Departamento,Venta,3.0,2.0,1.0,59.0,USD,110000.0
2832,Argentina,Bs.As. G.B.A. Zona Norte,Tigre,Departamento,Venta,3.0,1.0,1.0,171.0,USD,174000.0
2833,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,3.0,3.0,3.0,97.0,USD,154143.0
2834,Colombia,Antioquia,Marinilla,Apartamento,Venta,3.0,3.0,3.0,128.0,USD,74319.0
2835,Colombia,Valle del Cauca,Cali,Apartamento,Venta,4.0,4.0,4.0,214.0,USD,233966.0
2836,Argentina,Capital Federal,Barrio Norte,Departamento,Venta,3.0,2.0,1.0,62.0,USD,255000.0
2837,Colombia,Valle del Cauca,Cali,Apartamento,Venta,3.0,3.0,2.0,60.0,USD,39912.0
2838,Argentina,Capital Federal,Nuñez,Departamento,Venta,2.0,1.0,1.0,44.0,USD,109000.0
2839,Argentina,Bs.As. G.B.A. Zona Sur,La Plata,Departamento,Venta,2.0,1.0,1.0,41.0,USD,67000.0
2840,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,3.0,3.0,2.0,64.0,USD,85329.0
2841,Argentina,Santa Fe,Rosario,Departamento,Venta,3.0,1.0,1.0,35.0,USD,71500.0
2842,Argentina,Capital Federal,Centro / Microcentro,Departamento,Venta,3.0,2.0,2.0,85.0,USD,145000.0
2843,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,3.0,3.0,3.0,126.0,USD,148637.0
2844,Argentina,Río Negro,San Carlos de Bariloche,Departamento,Venta,3.0,2.0,2.0,72.0,USD,165000.0
2845,Argentina,Bs.As. G.B.A. Zona Sur,Quilmes,Departamento,Venta,2.0,1.0,1.0,46.0,USD,77000.0
2846,Argentina,Bs.As. G.B.A. Zona Sur,La Plata,Departamento,Venta,3.0,1.0,1.0,50.0,USD,69000.0
2847,Argentina,Bs.As. G.B.A. Zona Oeste,Morón,Departamento,Venta,1.0,1.0,1.0,30.0,USD,56000.0
2848,Argentina,Capital Federal,Villa Crespo,Departamento,Venta,2.0,1.0,1.0,39.0,USD,80000.0
2849,Colombia,Valle del Cauca,Cali,Apartamento,Venta,2.0,2.0,2.0,70.0,USD,68814.0
2850,Argentina,Capital Federal,Villa Crespo,Departamento,Venta,3.0,2.0,1.0,55.0,USD,119000.0
2851,Argentina,Capital Federal,Palermo,Departamento,Venta,3.0,2.0,2.0,66.0,USD,190000.0
2852,Argentina,Capital Federal,Nuñez,Departamento,Venta,2.0,1.0,1.0,40.0,USD,90000.0
2853,Argentina,Bs.As. G.B.A. Zona Norte,Tigre,Departamento,Venta,2.0,1.0,1.0,54.0,USD,145000.0
2854,Colombia,Antioquia,Envigado,Apartamento,Venta,3.0,3.0,2.0,95.0,USD,96339.0
2855,Colombia,Valle del Cauca,Cali,Apartamento,Venta,3.0,3.0,4.0,143.0,USD,170658.0
2856,Argentina,Capital Federal,Palermo,Departamento,Venta,2.0,1.0,1.0,32.0,USD,132900.0
2857,Argentina,Capital Federal,Flores,Departamento,Venta,2.0,1.0,1.0,45.0,USD,83000.0
2858,Colombia,Quindío,Armenia,Apartamento,Venta,3.0,3.0,2.0,78.0,USD,41288.0
2859,Argentina,Capital Federal,Palermo,Departamento,Venta,2.0,1.0,1.0,40.0,USD,110000.0
2860,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,1.0,1.0,2.0,45.0,USD,68814.0
2861,Argentina,Córdoba,Córdoba,Departamento,Venta,5.0,2.0,1.0,70.0,USD,35000.0
2862,Argentina,Capital Federal,Villa Crespo,Departamento,Venta,2.0,1.0,1.0,36.0,USD,87000.0
2863,Argentina,Capital Federal,Barrio Norte,Departamento,Venta,4.0,2.0,1.0,108.0,USD,285000.0
2864,Argentina,Capital Federal,Belgrano,Departamento,Venta,3.0,2.0,1.0,115.0,USD,320000.0
2865,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,3.0,3.0,2.0,89.0,USD,94963.0
2866,Colombia,Atlántico,Barranquilla,Apartamento,Venta,1.0,1.0,1.0,38.0,USD,46793.0
2867,Argentina,Capital Federal,Palermo,Departamento,Venta,2.0,1.0,1.0,37.0,USD,105000.0
2868,Colombia,Antioquia,Envigado,Apartamento,Venta,3.0,3.0,3.0,172.0,USD,214699.0
2869,Argentina,Santa Fe,Rosario,Departamento,Venta,3.0,1.0,1.0,30.0,USD,45000.0
2870,Argentina,Santa Fe,Rosario,Departamento,Venta,3.0,2.0,2.0,132.0,USD,244700.0
2871,Colombia,Valle del Cauca,Cali,Apartamento,Venta,2.0,2.0,1.0,54.0,USD,45968.0
2872,Argentina,Capital Federal,Recoleta,Departamento,Venta,4.0,3.0,2.0,144.0,USD,448000.0
2873,Argentina,Capital Federal,Palermo,Departamento,Venta,2.0,1.0,1.0,45.0,USD,195749.0
2874,Argentina,Bs.As. G.B.A. Zona Sur,La Plata,Departamento,Venta,3.0,2.0,1.0,58.0,USD,95000.0
2875,Argentina,Capital Federal,Palermo,Departamento,Venta,3.0,2.0,1.0,54.0,USD,210000.0
2876,Colombia,Atlántico,Barranquilla,Apartamento,Venta,3.0,3.0,3.0,145.0,USD,178915.0
2877,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,2.0,2.0,3.0,82.0,USD,99092.0
2878,Argentina,Bs.As. G.B.A. Zona Norte,José C Paz,Departamento,Venta,2.0,1.0,1.0,40.0,USD,48000.0
2879,Argentina,Capital Federal,Liniers,Departamento,Venta,4.0,3.0,3.0,90.0,USD,295000.0
2880,Argentina,Capital Federal,Recoleta,Departamento,Venta,6.0,3.0,2.0,296.0,USD,1390000.0
2881,Colombia,Valle del Cauca,Cali,Apartamento,Venta,2.0,2.0,2.0,73.0,USD,71566.0
2882,Colombia,Valle del Cauca,Cali,Apartamento,Venta,3.0,3.0,3.0,160.0,USD,214699.0
2883,Colombia,Antioquia,Bello,Apartamento,Venta,3.0,3.0,2.0,71.0,USD,63309.0
2884,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,Venta,1.0,1.0,1.0,29.0,USD,55000.0
2885,Argentina,Capital Federal,Belgrano,Departamento,Venta,2.0,1.0,1.0,42.0,USD,107000.0
2886,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,3.0,3.0,3.0,126.0,USD,189926.0
2887,Argentina,Bs.As. G.B.A. Zona Oeste,La Matanza,Departamento,Venta,3.0,2.0,2.0,127.0,USD,104900.0
2888,Argentina,Capital Federal,San Telmo,Departamento,Venta,3.0,2.0,1.0,84.0,USD,255000.0
2889,Colombia,Antioquia,Medellín,Apartamento,Venta,2.0,2.0,2.0,178.0,USD,118359.0
2890,Argentina,Capital Federal,Belgrano,Departamento,Venta,2.0,1.0,1.0,67.0,USD,335000.0
2891,Argentina,Santa Fe,Rosario,Departamento,Venta,2.0,1.0,1.0,40.0,USD,70000.0
2892,Argentina,Bs.As. G.B.A. Zona Norte,Pilar,Departamento,Venta,2.0,1.0,1.0,55.0,USD,135000.0
2893,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,Venta,3.0,2.0,2.0,87.0,USD,200000.0
2894,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,2.0,2.0,2.0,85.0,USD,178915.0
2895,Argentina,Capital Federal,Villa Crespo,Departamento,Venta,1.0,1.0,1.0,37.0,USD,110000.0
2896,Argentina,Capital Federal,Almagro,Departamento,Venta,3.0,2.0,1.0,53.0,USD,150000.0
2897,Argentina,Bs.As. G.B.A. Zona Norte,Tigre,Departamento,Venta,4.0,3.0,2.0,138.0,USD,275000.0
2898,Colombia,Antioquia,Bello,Apartamento,Venta,3.0,3.0,2.0,60.0,USD,57803.0
2899,Colombia,Antioquia,Bello,Apartamento,Venta,3.0,3.0,2.0,69.0,USD,64685.0
2900,Colombia,Antioquia,Bello,Apartamento,Venta,3.0,3.0,2.0,77.0,USD,68814.0
2901,Argentina,Capital Federal,Recoleta,Departamento,Venta,4.0,3.0,2.0,170.0,USD,830000.0
2902,Colombia,Valle del Cauca,Cali,Apartamento,Venta,3.0,3.0,3.0,161.0,USD,193069.0
2903,Argentina,Capital Federal,Villa Crespo,Departamento,Venta,4.0,3.0,1.0,82.0,USD,185000.0
2904,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,Venta,2.0,1.0,2.0,52.0,USD,77900.0
2905,Colombia,Atlántico,Barranquilla,Apartamento,Venta,3.0,3.0,4.0,149.0,USD,143132.0
2906,Argentina,Chubut,Trelew,Departamento,Venta,1.0,1.0,1.0,41.0,USD,60000.0
2907,Argentina,Santa Fe,Rosario,Departamento,Venta,2.0,1.0,1.0,35.0,USD,75000.0
2908,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,Venta,2.0,1.0,1.0,38.0,USD,78800.0
2909,Argentina,Bs.As. G.B.A. Zona Norte,General San Martín,Departamento,Venta,2.0,1.0,1.0,40.0,USD,69000.0
2910,Argentina,Río Negro,Cipolletti,Departamento,Venta,2.0,1.0,1.0,49.0,USD,87300.0
2911,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,3.0,3.0,2.0,91.0,USD,112854.0
2912,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,3.0,3.0,2.0,88.0,USD,127993.0
2913,Colombia,Atlántico,Barranquilla,Apartamento,Venta,3.0,3.0,2.0,72.0,USD,68814.0
2914,Argentina,Capital Federal,San Nicolás,Departamento,Venta,3.0,2.0,1.0,43.0,USD,79000.0
2915,Argentina,Capital Federal,Almagro,Departamento,Venta,2.0,1.0,1.0,33.0,USD,90000.0
2916,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,4.0,4.0,3.0,140.0,USD,198183.0
2917,Argentina,Córdoba,Córdoba,Departamento,Venta,2.0,1.0,1.0,40.0,USD,77000.0
2918,Colombia,Antioquia,Envigado,Apartamento,Venta,3.0,3.0,5.0,204.0,USD,316543.0
