App,Category,Rating,Reviews,Type,content_rating,new_genres,date_update,new_day,new_year,size_kb,new_installs,new_price,new_month_num,new_version,new_subversion,min_android
CampGladiator,Health_and_fitness,0,293,Free,Everyone,Health & Fitness,2018-07-20,20,2018,19000,50000,0,7,2,4,4.1
CB Trader,Finance,1,11,Free,Everyone,Finance,2018-04-11,11,2018,2200,1000,0,4,1,6,4
MIX by Camera360,Photography,1,111066,Free,Everyone,Photography,2018-08-03,3,2018,74000,5e+06,0,8,4,8,
Red Ball 4,Game,1,1432447,Free,Everyone,Arcade,2017-11-09,9,2017,59000,5e+07,0,11,1,3,
CP evolution calculator Pokemo,Family,1,78,Free,Everyone,Education,2017-02-26,26,2017,787,10000,0,2,1,3,4.1
Bible du Semeur-BDS (French),Books_and_reference,1,313,Free,Everyone,Books & Reference,2018-08-04,4,2018,6900,50000,0,8,0,7,1
Stolica.bg,News_and_magazines,1,1,Free,Everyone,News & Magazines,2018-05-02,2,2018,1300,50,0,5,1,1,5
PLAYBULB X,Lifestyle,0,2160,Free,Everyone,Lifestyle,2018-06-25,25,2018,15000,1e+05,0,6,1,6,4.3
BTS j-hope LINE Launcher theme,Personalization,1,934,Free,Everyone,Personalization,2014-10-17,17,2014,3800,10000,0,10,4,1,
POCKET ATLAS OF CT HEAD,Medical,1,22,Free,Everyone,Medical,2018-03-16,16,2018,18000,10000,0,3,2,0,
Be Like Bro - Compilation,Family,1,146,Free,Teen,Entertainment,2018-03-30,30,2018,3900,10000,0,3,2,4,4.1
R Programming,Family,1,2,Free,Everyone,Education,2017-11-21,21,2017,5900,1000,0,11,1,0,
Teeny Titans - Teen Titans Go!,Family,1,20463,Paid,Everyone 10+,Strategy,2018-07-18,18,2018,25000,1e+05,3.99,7,1,2,4.1
GUYZ - Gay Chat & Gay Dating,Social,1,41269,Free,Mature 17+,Social,2017-05-10,10,2017,,1e+06,0,5,1,3,
Rope Hero: Vice Town,Game,1,452589,Free,Mature 17+,Action,2018-07-01,1,2018,99000,1e+07,0,7,2,2,4
VitusVet: Pet Health Care App,Medical,1,3052,Free,Everyone,Medical,2018-07-31,31,2018,12000,1e+05,0,7,3,8,4.1
Az Content,Family,0,24,Free,Everyone,Entertainment,2018-06-05,5,2018,13000,10000,0,6,1,0,4.1
EF Mentor: Words,Family,0,403,Free,Teen,Education,2018-07-30,30,2018,39000,50000,0,7,1,7,4.1
NB|AZ Mobile Banking,Finance,0,463,Free,Everyone,Finance,2018-04-05,5,2018,13000,10000,0,4,4,2,4.2
Grim Tales: The Wishes CE,Game,1,4923,Free,Everyone 10+,Adventure,2015-08-26,26,2015,20000,1e+05,0,8,1,0,
W Box VMS HD,Video_players,0,24,Free,Everyone,Video Players & Editors,2017-01-04,4,2017,16000,5000,0,1,4,0,3
DS - xR,Business,1,2,Free,Everyone,Business,2017-11-21,21,2017,1400,10,0,11,1,0,4.4
Anti-virus Dr.Web Light,Tools,1,1094094,Free,Everyone,Tools,2018-07-10,10,2018,,1e+08,0,7,,,
BT Communicator,Social,0,32,Free,Teen,Social,2016-12-16,16,2016,1600,10000,0,12,1,0,1.6
Hallmark Channel Everywhere,Family,1,6784,Free,Everyone,Entertainment,2017-08-30,30,2017,13000,5e+05,0,8,2,3,4.4
Dr. Battery - Fast Charger - Super Cleaner 2018,Tools,1,101738,Free,Everyone,Tools,2018-07-26,26,2018,10000,1e+06,0,7,2,2,4
Kids Balloon Pop Game Free 🎈,Family,1,38021,Free,Everyone,Casual,2018-07-06,6,2018,19000,1e+07,0,7,18,2,
APUS Booster - Space Cleaner & Booster,Productivity,1,1048766,Free,Everyone,Productivity,2018-08-03,3,2018,13000,1e+07,0,8,2,6,
BLOOD & GLORY: IMMORTALS,Game,1,101762,Free,Teen,Action,2015-06-11,11,2015,11000,1e+06,0,6,2,0,3
File Viewer for Android,Tools,1,7063,Free,Everyone,Tools,2018-01-25,25,2018,,1e+06,0,1,2,3,5
PK and DK Audio App,Family,1,2,Free,Everyone,Entertainment,2017-10-25,25,2017,3900,100,0,10,5,1,4.1
Helper for CS:GO,Tools,1,208,Free,Everyone,Tools,2016-06-16,16,2016,6000,10000,0,6,1,2,4.1
Be like Bill Generator,Family,1,67,Free,Teen,Entertainment,2016-01-29,29,2016,6500,5000,0,1,1,8,
Elif Ba - Learn The Holy Quran,Family,1,1491,Free,Everyone,Education,2017-10-31,31,2017,38000,50000,0,10,1,3,4.1
mail.co.uk Mail,Communication,1,21,Free,Everyone,Communication,2018-07-24,24,2018,8700,5000,0,7,1,1,
HTC Sense Input-AR,Tools,0,1420,Free,Everyone,Tools,2014-04-22,22,2014,2700,1e+05,0,4,9,7,4.1
Ringdroid,Video_players,1,326232,Free,Everyone,Video Players & Editors,2016-12-03,3,2016,,5e+07,0,12,,,
Empire Z: Endless War,Family,1,367951,Free,Teen,Strategy,2018-07-16,16,2018,76000,5e+06,0,7,2,2,
DG-App,Tools,1,1,Free,Everyone,Tools,2017-11-29,29,2017,4500,500,0,11,1,0,4.1
Meme Creator,Entertainment,1,38769,Free,Mature 17+,Entertainment,2015-09-22,22,2015,44000,1e+06,0,9,7,2,2.3
NEW Theme for Phone X,Personalization,1,8642,Free,Everyone,Personalization,2018-05-22,22,2018,3700,5e+05,0,5,1,1,4
Renesas PMA,Medical,1,0,Free,Everyone,Medical,2018-07-18,18,2018,6600,5,0,7,1,2,4.4
CK-12: Practice Math & Science,Family,1,562,Free,Everyone,Education,2017-12-21,21,2017,20000,50000,0,12,3,8,4.1
BBC News,News_and_magazines,1,296781,Free,Everyone 10+,News & Magazines,2018-07-24,24,2018,,1e+07,0,7,,,
AZ Immune Related AEManagement,Medical,0,3,Free,Everyone,Medical,2018-05-24,24,2018,7300,500,0,5,1,4,3.2
Nick Jr. - Shows & Games,Entertainment,1,8968,Free,Everyone,Entertainment,2018-01-23,23,2018,35000,1e+06,0,1,1,0,4.4
Ulysse Speedometer,Auto_and_vehicles,1,40211,Free,Everyone,Auto & Vehicles,2018-07-30,30,2018,,5e+06,0,7,,,
BJ - Confidential,Communication,1,0,Free,Teen,Communication,2018-04-23,23,2018,3200,10,0,4,1,7,4.1
Zombie Avengers:(Dreamsky)Stickman War Z,Game,1,13604,Paid,Teen,Action,2018-06-26,26,2018,96000,1e+06,0.99,6,2,4,2.3
Sports Car Driving Simulator 2018,Game,1,2178,Free,Everyone,Racing,2018-03-28,28,2018,57000,5e+05,0,3,1,1,4.1
PayPal,Finance,1,659741,Free,Everyone,Finance,2018-07-18,18,2018,47000,5e+07,0,7,6,28,4.4
"Dr. Safety - Antivirus, Booster, Cleaner, AppLock",Tools,1,372553,Free,Everyone,Tools,2018-08-06,6,2018,21000,1e+07,0,8,3,0,4.1
FE Mechanical Engineering Prep,Family,0,2,Free,Everyone,Education,2018-07-27,27,2018,21000,1000,0,7,5,33,5
Scarf Fashion Designer,Lifestyle,1,16637,Free,Everyone,Lifestyle,2017-06-18,18,2017,10000,1e+06,0,6,1,8,2.3
EC Calgary,Family,1,6,Free,Teen,Education,2018-06-26,26,2018,8100,100,0,6,3,8,4.1
CG - Chemistry free,Family,1,7,Free,Everyone,Education,2018-05-25,25,2018,2300,1000,0,5,1,0,
"Super Resume Builder Pro, CV",Business,1,244,Paid,Everyone,Business,2017-08-17,17,2017,6900,1000,4.99,8,4,38,2.3
HD Camera for Android,Photography,1,351254,Free,Everyone,Photography,2018-06-29,29,2018,4000,1e+07,0,6,4,6,4.2
Offline English Dictionary,Books_and_reference,1,860,Free,Everyone,Books & Reference,2018-07-17,17,2018,13000,1e+05,0,7,1,0,
Spine- The dating app,Dating,1,5,Free,Teen,Dating,2018-07-14,14,2018,9300,500,0,7,4,0,
FD Community FCU Mobile,Finance,1,175,Free,Everyone,Finance,2018-06-12,12,2018,12000,1000,0,6,5,9,5
"FastMeet: Chat, Dating, Love",Dating,1,22544,Free,Mature 17+,Dating,2018-07-27,27,2018,5900,1e+06,0,7,1,31,
Daily Workouts - Exercise Fitness Routine Trainer,Health_and_fitness,1,134195,Free,Everyone,Health & Fitness,2018-06-14,14,2018,,1e+07,0,6,,,
Gun Mod: Guns in Minecraft PE,Family,0,33812,Free,Teen,Entertainment,2018-07-30,30,2018,12000,5e+06,0,7,2,5,4.1
Bluetooth Pair,Tools,0,1960,Free,Everyone,Tools,2018-08-04,4,2018,2700,1e+06,0,8,2,5,4.1
M+,News_and_magazines,1,198,Free,Everyone,News & Magazines,2018-05-29,29,2018,9100,10000,0,5,3,2,5
"RetailMeNot - Coupons, Deals & Discount Shopping",Shopping,1,210208,Free,Everyone,Shopping,2018-08-01,1,2018,,1e+07,0,8,,,
EP McGuffey Primer,Family,1,0,Paid,Everyone,Education,2018-07-16,16,2018,,50,1.99,7,,,
Free Book Reader,Books_and_reference,0,1680,Free,Everyone,Books & Reference,2016-08-20,20,2016,4000,1e+05,0,8,3,5,
NB|AZ Business Mobile Banking,Finance,1,44,Free,Everyone,Finance,2018-04-05,5,2018,13000,1000,0,4,4,2,4.2
CV Samples 2018,Business,1,34,Free,Everyone,Business,2017-10-10,10,2017,26000,10000,0,10,1,0,
Best CG views,Family,1,4,Free,Teen,Entertainment,2015-06-24,24,2015,2500,100,0,6,5,1,3
Cisco Webex Teams,Business,1,1661,Free,Everyone,Business,2018-08-02,2,2018,46000,1e+05,0,8,3,0,4.4
Bubble Shooter Space,Game,1,4355,Free,Everyone,Casual,2017-07-17,17,2017,,1e+06,0,7,1,6,2.3
Hornet - Gay Social Network,Social,0,163679,Free,Mature 17+,Social,2018-08-01,1,2018,,5e+06,0,8,,,
Fruits Bomb,Game,1,74673,Free,Everyone,Casual,2018-07-06,6,2018,17000,1e+07,0,7,3,3,
Dots & Co: A Puzzle Adventure,Family,1,81001,Free,Everyone,Puzzle,2018-04-27,27,2018,85000,1e+06,0,4,2,15,4.1
Free Poker Games : Downtown Casino - Texas Holdem,Game,1,2032,Free,Teen,Card,2018-06-05,5,2018,50000,50000,0,6,0,1,4.1
Moven - Smart Finances,Finance,0,861,Free,Everyone,Finance,2018-05-29,29,2018,17000,1e+05,0,5,3,3,4.4
British Columbia Transit Info,Maps_and_navigation,1,0,Free,Everyone 10+,Maps & Navigation,2016-02-19,19,2016,5000,100,0,2,3,0,2.2
CF Calculator,Lifestyle,0,25,Free,Everyone,Lifestyle,2015-03-10,10,2015,4700,1000,0,3,1,0,4
Parkinson Exercices FR,Medical,1,3,Free,Everyone,Medical,2017-01-20,20,2017,9500,1000,0,1,1,0,2.2
Maps CU,Finance,0,256,Free,Everyone,Finance,2017-11-02,2,2017,28000,10000,0,11,,,
Axe Champ,Game,0,141,Free,Everyone,Arcade,2018-05-26,26,2018,19000,10000,0,5,1,0,4.1
Entel,Lifestyle,0,16168,Free,Everyone,Lifestyle,2018-07-26,26,2018,55000,1e+06,0,7,2,2,
The Visitor: Ep.2 - Sleepover Slaughter,Game,1,5731,Free,Mature 17+,Adventure,2018-01-02,2,2018,31000,1e+06,0,1,1,1,4.1
X Launcher Pro - IOS Style Theme & Control Center,Art_and_design,1,1216,Paid,Everyone,Art & Design,2018-06-26,26,2018,8600,10000,1.99,6,1,0,4.1
FP Live,Communication,1,0,Free,Teen,Communication,2017-11-03,3,2017,3300,10,0,11,1,2,4.2
Four In A Line,Game,0,22191,Free,Everyone,Board,2015-05-04,4,2015,3000,1e+06,0,5,1,10,2.3
Don't Panic with Andrew J.,Books_and_reference,1,124,Paid,Everyone,Books & Reference,2015-08-25,25,2015,,5000,2.99,8,,,
myAir™ for Air10™ by ResMed,Medical,0,236,Free,Everyone,Medical,2018-07-25,25,2018,18000,50000,0,7,1,1,5
U-Dictionary: Best English Learning Dictionary,Family,1,166886,Free,Everyone 10+,Education,2018-07-29,29,2018,21000,1e+07,0,7,3,6,
think Comics,Comics,1,1006,Free,Everyone,Comics,2018-08-03,3,2018,19000,50000,0,8,2,3,
FRONTLINE COMMANDO,Game,1,1351833,Free,Teen,Action,2013-10-28,28,2013,12000,1e+07,0,10,3,0,2.1
Elkhart County 4-H Fair,Family,0,38,Free,Everyone,Entertainment,2018-04-06,6,2018,42000,5000,0,4,,,4.1
DM TrackMan,Maps_and_navigation,1,10,Free,Everyone,Maps & Navigation,2018-06-26,26,2018,7800,100,0,6,2,1,4.4
Doctor On Demand,Medical,1,18674,Free,Everyone,Medical,2018-07-27,27,2018,,1e+06,0,7,3,25,4.4
Pokémon GO,Game,1,10424925,Free,Everyone,Adventure,2018-07-23,23,2018,85000,1e+08,0,7,0,,4.4
10 WPM Amateur ham radio CW Morse code trainer,Communication,0,10,Paid,Everyone,Communication,2018-05-12,12,2018,3800,100,1.49,5,2,1,2.1
Audiowalk EB,Travel_and_local,1,0,Free,Everyone,Travel & Local,2018-06-30,30,2018,90000,10,0,6,1,0,4.2
O-Level Past Papers & Solution (up to 2017),Family,0,589,Free,Everyone,Education,2018-06-11,11,2018,28000,1e+05,0,6,8,3,
CJ SO COOL,Family,1,145,Free,Everyone,Entertainment,2018-07-11,11,2018,14000,10000,0,7,1,0,4.2
BZ Vesper-App,Travel_and_local,1,60,Free,Everyone,Travel & Local,2015-08-06,6,2015,13000,1000,0,8,1,0,
Blackjack,Game,1,52199,Free,Teen,Casino,2017-05-18,18,2017,,1e+06,0,5,1,2,2.3
Wolf of the BF:Commando MOBILE,Game,0,32,Paid,Everyone 10+,Arcade,2017-03-23,23,2017,27000,1000,0.99,3,1,0,4
Noticias FC Barcelona,News_and_magazines,1,4,Free,Everyone,News & Magazines,2018-06-15,15,2018,3100,100,0,6,1,3,4.4
BD Live Call,Communication,1,7,Free,Everyone,Communication,2016-09-06,6,2016,308,5000,0,9,1,1,2
Download Manager - File & Video,Tools,0,8780,Free,Everyone,Tools,2018-06-13,13,2018,5000,1e+06,0,6,2,7,4.2
The Daily BJ,Health_and_fitness,1,38,Free,Everyone,Health & Fitness,2018-07-10,10,2018,24000,500,0,7,1,1,5
PulsePoint Respond,Medical,1,7837,Free,Everyone,Medical,2018-07-31,31,2018,21000,1e+05,0,7,2,4,4.1
Facebook,Social,1,78158306,Free,Teen,Social,2018-08-03,3,2018,,1e+09,0,8,,,
"delivery.com: Order Food, Alcohol & Laundry",Food_and_drink,1,1920,Free,Everyone,Food & Drink,2018-07-31,31,2018,,1e+05,0,7,,,
Learn CW,Family,1,0,Paid,Everyone,Education,2018-04-06,6,2018,21000,1,2.49,4,1,1,4.3
Travis CU,Finance,0,207,Free,Everyone,Finance,2018-02-16,16,2018,2900,10000,0,2,1,0,4.4
Smart Launcher Pro 3,Personalization,1,40704,Paid,Everyone,Personalization,2018-03-16,16,2018,,1e+05,4.49,3,,,
Scratch Logo Quiz. Challenging brain puzzle,Game,0,152102,Free,Teen,Trivia,2018-06-30,30,2018,18000,1e+07,0,6,4,16,4.1
To-Do Calendar Planner,Productivity,1,30291,Free,Everyone,Productivity,2018-05-29,29,2018,,1e+06,0,5,,,
Pinkalicious Party,Family,0,2,Paid,Everyone,Education,2018-06-25,25,2018,82000,500,2.99,6,1,5,4.1
BU Calculator,Family,1,69,Free,Everyone,Education,2017-07-24,24,2017,3100,1000,0,7,2,4,
Saiyan Of CW,Family,0,5,Free,Everyone,Role Playing,2018-07-31,31,2018,1100,500,0,7,2,0,
Easy Hotspot Ad Free,Tools,1,2,Paid,Everyone,Tools,2018-07-26,26,2018,3300,10,0.99,7,1,5,4
B.GOOD,Food_and_drink,0,155,Free,Everyone,Food & Drink,2018-04-04,4,2018,20000,10000,0,4,4,,4.1
OfficeSuite Pro + PDF (Trial),Business,1,88073,Free,Everyone,Business,2018-07-09,9,2018,,1e+07,0,7,,,
Zaatar w Zeit,Food_and_drink,1,205,Free,Everyone,Food & Drink,2018-07-01,1,2018,33000,50000,0,7,2,2,4.4
Deck Heroes: Legacy,Game,1,466495,Free,Teen,Card,2018-07-16,16,2018,52000,1e+07,0,7,11,7,
Gold Quote - Gold.fr,Finance,1,96,Free,Everyone,Finance,2016-05-19,19,2016,1500,10000,0,5,2,3,2.2
Best New Ringtones 2018 Free 🔥 For Android™,Libraries_and_demo,1,3014,Free,Everyone,Libraries & Demo,2018-06-27,27,2018,21000,1e+05,0,6,1,1,5
CQ ESPM,Business,1,2,Free,Everyone,Business,2017-06-03,3,2017,3400,5,0,6,1,0,4.1
Real Football,Sports,1,585564,Free,Everyone,Sports,2018-06-01,1,2018,33000,1e+07,0,6,1,5,
Learn Top 300 English Words,Family,1,61600,Free,Everyone,Education,2018-02-24,24,2018,3400,1e+06,0,2,3,1,2.3
Calvin Klein Petite Dresses,Beauty,1,0,Free,Everyone,Beauty,2018-03-23,23,2018,3700,500,0,3,1,,4.1
CJ DVD Rentals,Communication,0,5,Free,Everyone,Communication,2017-10-06,6,2017,13000,100,0,10,1,0,4.1
Calculator L,Productivity,1,2965,Free,Everyone,Productivity,2015-05-10,10,2015,2400,1e+05,0,5,1,1,4.3
Financial Calculator BA Chien.,Finance,1,23,Paid,Everyone,Finance,2016-12-14,14,2016,954,500,3.99,12,1,9,3
Ham Radio Prefixes,Communication,0,218,Free,Everyone,Communication,2014-07-12,12,2014,3700,10000,0,7,1,12,2.3
Travelmoji,Family,0,13,Free,Everyone,Education,2016-06-24,24,2016,10000,500,0,6,2,0,4.3
REPUVE,Auto_and_vehicles,0,356,Free,Everyone,Auto & Vehicles,2018-05-25,25,2018,,1e+05,0,5,,,
DW فارسی By dw-arab.com,News_and_magazines,1,11,Free,Everyone,News & Magazines,2017-03-26,26,2017,4400,1000,0,3,1,0,4.1
Art Pixel Coloring. Color by Number.,Family,1,992,Free,Teen,Entertainment,2018-08-02,2,2018,49000,1e+05,0,8,1,2,4.2
High-Powered Flashlight,Tools,1,429580,Free,Everyone,Tools,2018-03-16,16,2018,,1e+07,0,3,,,
Local Services ads by Google,Business,1,7,Free,Everyone,Business,2018-07-17,17,2018,12000,1000,0,7,3,3,4
Culver's,Lifestyle,0,1638,Free,Everyone,Lifestyle,2018-04-11,11,2018,4900,1e+05,0,4,1,20,4.3
Color Touch Effects,Photography,0,167652,Free,Everyone,Photography,2018-04-23,23,2018,12000,1e+07,0,4,4,5,4.1
FH Wallet,Finance,1,0,Free,Everyone,Finance,2018-07-26,26,2018,9900,1,0,7,1,0,4.1
EC Reps,Business,0,1,Free,Everyone,Business,2017-03-15,15,2017,5400,100,0,3,1,10,4
A+ Gallery - Photos & Videos,Photography,1,223941,Free,Everyone,Photography,2018-08-06,6,2018,,1e+07,0,8,,,
Pdf Book Download - Read Pdf Book,Books_and_reference,1,1322,Free,Everyone,Books & Reference,2018-05-28,28,2018,3500,1e+05,0,5,6,0,
Inbox.eu,Communication,0,98,Free,Everyone,Communication,2018-07-11,11,2018,9700,10000,0,7,6,4,4.3
Bitcoin Ticker Widget,Finance,1,25744,Free,Everyone,Finance,2018-07-30,30,2018,,5e+05,0,7,,,
Wi-Fi Master,Tools,1,3673,Free,Everyone,Tools,2018-07-24,24,2018,5800,5e+05,0,7,1,2,4.1
OnePlus Icon Pack,Personalization,1,440,Free,Everyone,Personalization,2018-05-23,23,2018,920,5e+05,0,5,1,9,5
FK Željezničar Izzy,Family,1,119,Free,Everyone,Entertainment,2016-11-18,18,2016,17000,1000,0,11,1,0,4.4
Beach Head Shooting Assault,Game,0,555,Free,Teen,Action,2018-03-02,2,2018,44000,1e+05,0,3,1,0,4
A.J. Green Wallpapers 4 Fans,Lifestyle,1,0,Free,Everyone,Lifestyle,2018-05-26,26,2018,4300,5,0,5,1,0,4
SignEasy | Sign and Fill PDF and other Documents,Business,1,8978,Free,Everyone,Business,2018-07-25,25,2018,,1e+06,0,7,,,
XE Currency,Travel_and_local,1,77585,Free,Everyone,Travel & Local,2018-07-31,31,2018,,1e+07,0,7,,,
Chinese Chess / Co Tuong,Game,1,6947,Free,Everyone,Board,2017-10-25,25,2017,20000,5e+05,0,10,2,7,2.3
Catalyst AZ,Family,1,12,Free,Teen,Education,2018-06-27,27,2018,8400,500,0,6,3,8,4.1
GPS Speedometer and Odometer,Maps_and_navigation,1,15865,Free,Everyone,Maps & Navigation,2018-08-03,3,2018,3300,1e+06,0,8,10,0,4.1
Wallpapers DAF CF 85 Trucks,Personalization,1,0,Free,Teen,Personalization,2017-04-29,29,2017,16000,10,0,4,1,0,4.1
The Legacy (Full),Game,1,144,Paid,Everyone,Adventure,2018-05-15,15,2018,6300,1000,6.99,5,1,0,4
Hotels Combined - Cheap deals,Travel_and_local,1,17202,Free,Everyone,Travel & Local,2017-11-13,13,2017,12000,5e+06,0,11,4,9,4.1
Calvin Klein – US Store,Shopping,1,221,Free,Teen,Shopping,2017-08-01,1,2017,9500,50000,0,8,3,6,4.1
DC Legends: Battle for Justice,Family,1,355613,Free,Teen,Role Playing,2018-08-02,2,2018,59000,1e+07,0,8,1,21,4.4
EB Scanner,Productivity,1,9,Free,Everyone,Productivity,2018-02-11,11,2018,25000,50,0,2,1,7,
Idle Heroes,Game,1,416540,Free,Everyone 10+,Role Playing,2018-05-30,30,2018,99000,1e+07,0,5,1,14,2.3
wetter.com - Weather and Radar,Weather,1,189313,Free,Everyone,Weather,2018-08-06,6,2018,38000,1e+07,0,8,,,
Power Plug EV charger,Maps_and_navigation,0,13,Free,Everyone,Maps & Navigation,2014-12-22,22,2014,3900,1000,0,12,1,1,
Photo Collage Editor,Photography,1,1028637,Free,Everyone,Photography,2017-12-21,21,2017,,1e+08,0,12,,,
EG SIM CARD (EGSIMCARD),Travel_and_local,1,105,Free,Everyone,Travel & Local,2018-05-02,2,2018,5000,10000,0,5,2,5,2.3
Ditto CP Calculator GO,Tools,1,34,Free,Everyone,Tools,2018-02-25,25,2018,12000,1000,0,2,1,9,
Vegas Crime Simulator,Family,1,721646,Free,Teen,Simulation,2018-08-02,2,2018,99000,5e+07,0,8,2,7,4.1
7 Cups: Anxiety & Stress Chat,Health_and_fitness,1,13799,Free,Teen,Health & Fitness,2018-07-31,31,2018,,5e+05,0,7,,,
Vienna U-Bahn,Maps_and_navigation,0,139,Free,Everyone,Maps & Navigation,2018-07-25,25,2018,2000,10000,0,7,1,21,4
The T Factor,Events,1,48,Free,Everyone,Events,2017-09-26,26,2017,13000,1000,0,9,8,8,4.2
Six Pack in 30 Days - Abs Workout,Health_and_fitness,1,272337,Free,Everyone,Health & Fitness,2018-06-21,21,2018,13000,1e+07,0,6,1,0,4.2
Sticker Market: Emoji keyboard,Entertainment,1,303,Free,Teen,Entertainment,2017-12-14,14,2017,44000,10000,0,12,1,2,4.2
Qarabağ FK,Sports,1,9,Free,Everyone,Sports,2018-08-01,1,2018,5500,100,0,8,1,14,4.2
UC Browser Mini -Tiny Fast Private & Secure,Communication,1,3648120,Free,Teen,Communication,2018-07-18,18,2018,3300,1e+08,0,7,11,4,4
DT Driving Test Theory,Family,1,477,Free,Everyone,Education,2018-02-22,22,2018,1600,10000,0,2,1,1,
BU Study,Family,1,7,Free,Everyone,Education,2017-12-07,7,2017,5600,10,0,12,1,0,
591 Housing Trading - Hong Kong,House_and_home,1,3522,Free,Everyone,House & Home,2018-08-02,2,2018,15000,1e+05,0,8,3,10,4
Register.ca Mobile,Productivity,1,0,Free,Everyone,Productivity,2016-08-19,19,2016,1200,100,0,8,2,0,5
Klara weather,Weather,1,36900,Free,Everyone,Weather,2018-07-28,28,2018,4800,5e+05,0,7,1,3,4
Neighborhoods & Apartments,Lifestyle,0,2042,Free,Everyone,Lifestyle,2015-08-28,28,2015,3000,1e+05,0,8,3,1,4
Will it Crush?,Game,0,25825,Free,Everyone,Simulation,2018-05-22,22,2018,16000,5e+06,0,5,1,3,4.4
Masha and Bear: Cooking Dash,Family,1,151374,Free,Everyone,Role Playing,2018-06-05,5,2018,54000,1e+07,0,6,1,2,4.1
JoJo Siwa Top Hits Music,Dating,1,0,Free,Teen,Dating,2018-07-26,26,2018,4900,10,0,7,1,0,
CB Land,Business,1,0,Free,Everyone,Business,2018-03-13,13,2018,6400,100,0,3,6,3,4.1
Pedometer,Health_and_fitness,1,400592,Free,Everyone,Health & Fitness,2018-07-04,4,2018,2900,1e+07,0,7,5,23,4
Sight Words Pre-K to Grade-3,Family,1,1185,Free,Everyone,Education,2018-06-17,17,2018,40000,1e+05,0,6,1,5,4.1
EO Mumbai,Communication,1,0,Free,Everyone,Communication,2018-02-21,21,2018,11000,10,0,2,1,2,4.1
CG Jobs,Family,1,8,Free,Everyone,Education,2018-08-01,1,2018,14000,10,0,8,1,1,4.2
"Waplog - Free Chat, Dating App, Meet Singles",Social,1,522018,Free,Mature 17+,Social,2018-08-02,2,2018,,1e+07,0,8,,,
I Screen Dialer,Tools,1,8137,Free,Everyone,Tools,2018-02-25,25,2018,3900,1e+06,0,2,1,11,4.3
Them Bombs: co-op board game play with 2-4 friends,Game,1,8038,Free,Teen,Board,2018-07-12,12,2018,52000,1e+05,0,7,1,4,4.1
Baby Tiger Care - My Cute Virtual Pet Friend,Family,1,432,Free,Everyone 10+,Education,2018-07-27,27,2018,63000,1e+05,0,7,1,0,4.4
Mad Skills Motocross,Game,0,32522,Free,Everyone,Racing,2016-01-25,25,2016,44000,1e+06,0,1,1,2,2
Android P 9.0,Personalization,0,12,Free,Everyone,Personalization,2018-05-30,30,2018,4900,500,0,5,2,0,
EF Utilities,Tools,1,0,Free,Everyone,Tools,2018-06-07,7,2018,3600,5,0,6,1,1,4.3
Doomsday Preppers™,Family,1,137167,Free,Everyone,Strategy,2017-01-17,17,2017,52000,1e+06,0,1,,48,
AT&T U-verse,Family,0,38606,Free,Everyone,Entertainment,2018-06-13,13,2018,96000,1e+06,0,6,5,9,4.1
Adult Color by Number Book - Paint Mandala Pages,Family,1,997,Free,Everyone,Entertainment,2018-06-27,27,2018,,1e+05,0,6,2,4,4.1
EY ATL Fuel Calculator,Productivity,1,15,Free,Everyone,Productivity,2018-07-21,21,2018,3100,500,0,7,12,,2.1
ck-modelcars Shop,Shopping,1,118,Free,Everyone,Shopping,2018-06-15,15,2018,6400,5000,0,6,5,29,5
"Univision Deportes: Liga MX, MLS, Fútbol Live",Sports,1,75545,Free,Everyone,Sports,2018-07-23,23,2018,,5e+06,0,7,,,
DB for Fallout Shelter,Family,0,3323,Free,Everyone,Simulation,2018-03-29,29,2018,47000,1e+05,0,3,1,9,4
Receipt Hog - Receipts to Cash,Shopping,1,72596,Free,Teen,Shopping,2018-08-03,3,2018,19000,1e+06,0,8,4,2,4.1
EP Calipers,Medical,1,4,Paid,Everyone,Medical,2018-02-10,10,2018,15000,100,0.99,2,2,12,4
Battle Gems (AdventureQuest),Family,1,48427,Free,Everyone 10+,Puzzle,2018-03-31,31,2018,,5e+05,0,3,,,
PlayTexas Hold'em Poker Free,Game,0,3543,Free,Teen,Card,2018-03-10,10,2018,,1e+06,0,3,,,
BR Classified,Business,1,0,Free,Everyone,Business,2017-08-30,30,2017,28000,50,0,8,1,0,4.2
Woodman Deluxe,Game,0,82,Free,Everyone,Action,2015-07-06,6,2015,4400,5000,0,7,1,0,2.3
The Fish Master!,Game,1,15763,Free,Everyone,Arcade,2018-07-17,17,2018,54000,1e+06,0,7,1,6,4.1
CM FILE MANAGER Pro,Business,1,2359,Paid,Everyone,Business,2016-02-16,16,2016,2700,10000,2.99,2,1,16,1.6
Drugs.com Medication Guide,Medical,1,15875,Free,Everyone,Medical,2018-05-22,22,2018,,1e+06,0,5,,,4.4
Preschool All-In-One,Family,1,9019,Free,Everyone,Casual,2018-03-28,28,2018,44000,1e+06,0,3,6,6,4
FarmersOnly Dating,Dating,0,1146,Free,Mature 17+,Dating,2016-02-25,25,2016,1400,1e+05,0,2,2,2,4
Big Fish Casino – Play Slots & Vegas Games,Game,1,382100,Free,Teen,Casino,2018-07-11,11,2018,,1e+07,0,7,,,
