ID,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
1707,A.J. Styles HD Wallpapers 2018,PHOTOGRAPHY,1.0,1,7.6M,100+,Free,0,Everyone,Photography,"July 26, 2018",1.0,4.1 and up
1708,WeChat,COMMUNICATION,1.0,5387333,Varies with device,"100,000,000+",Free,0,Everyone,Communication,"July 31, 2018",Varies with device,Varies with device
1709,EduNAV.BH,FAMILY,1.0,3,3.8M,50+,Free,0,Everyone,Education,"February 12, 2018",1.2.0,4.3 and up
1710,MomentCam Cartoons & Stickers,PHOTOGRAPHY,1.0,1260143,Varies with device,"50,000,000+",Free,0,Everyone,Photography,"July 12, 2018",Varies with device,Varies with device
1711,Profile Pictures and DP for Whatsapp,SOCIAL,1.0,48,11M,"5,000+",Free,0,Everyone,Social,"May 12, 2017",1.3,4.0.3 and up
1712,Happy Birthday Songs Offline,EVENTS,1.0,464,8.9M,"100,000+",Free,0,Everyone,Events,"December 4, 2017",1.3,4.1 and up
1713,Easy Recipes,FOOD_AND_DRINK,1.0,2707,8.9M,"100,000+",Free,0,Everyone,Food & Drink,"May 15, 2018",2.12,4.0.3 and up
1714,Galaxy Defense,FAMILY,1.0,78142,17M,"5,000,000+",Free,0,Everyone,Strategy,"August 22, 2015",1.2.3,3.0 and up
1715,Z PIVOT,COMMUNICATION,1.0,0,5.7M,10+,Paid,$19.99,Everyone,Communication,"July 11, 2018",1.3,4.2 and up
1716,F-Secure SENSE,TOOLS,1.0,57,13M,"5,000+",Free,0,Everyone,Tools,"July 4, 2018",1.0.988,5.0 and up
1717,FAST EO,EVENTS,1.0,1,Varies with device,10+,Free,0,Everyone,Events,"May 15, 2018",1.0.3,4.1 and up
1718,CV Maker for Job Applications:Photo Resume Builder,TOOLS,0.0,114,25M,"10,000+",Free,0,Everyone,Tools,"June 9, 2018",1.5,4.0 and up
1719,Tic Tac Toe,FAMILY,1.0,6007,18M,"1,000,000+",Free,0,Everyone,Board;Action & Adventure,"July 3, 2017",1.6.3028.0,2.3 and up
1720,My Little Pony: Story Creator,FAMILY,1.0,11002,21M,"1,000,000+",Free,0,Everyone,Education;Action & Adventure,"May 11, 2017",1.0,4.0.3 and up
1721,BZ Berner Zeitung E-Paper,NEWS_AND_MAGAZINES,1.0,4,Varies with device,"1,000+",Free,0,Everyone,News & Magazines,"July 30, 2018",5.1.1,4.1 and up
1722,Texas Holdem Poker,GAME,0.0,127831,26M,"10,000,000+",Free,0,Teen,Card,"December 20, 2017",4.7.0,3.0 and up
1723,Sound Meter,TOOLS,1.0,88993,1.5M,"10,000,000+",Free,0,Everyone,Tools,"June 10, 2018",3.2.6,2.3 and up
1724,Red Embrace (BL/Yaoi Game),FAMILY,1.0,616,25M,"10,000+",Free,0,Teen,Casual,"June 12, 2018",4.5.5,2.3.3 and up
1725,EZ Ag Mobile,FINANCE,0.0,19,24M,"5,000+",Free,0,Everyone,Finance,"August 12, 2017",9.0.00,3.0 and up
1726,PES CLUB MANAGER,SPORTS,1.0,783025,Varies with device,"10,000,000+",Free,0,Everyone,Sports,"June 7, 2018",1.7.2,4.2 and up
1727,BH Açaí,FOOD_AND_DRINK,1.0,3,4.7M,100+,Free,0,Everyone,Food & Drink,"May 29, 2018",7.0 RELEASE,4.0.3 and up
1728,My BF App,COMMUNICATION,1.0,141,9.9M,"50,000+",Free,0,Everyone,Communication,"December 19, 2017",2.0,4.0 and up
1729,Hotstar,ENTERTAINMENT,1.0,4885646,Varies with device,"100,000,000+",Free,0,Teen,Entertainment,"August 3, 2018",Varies with device,Varies with device
1730,Rate Guide Bill Letter,LIFESTYLE,0.0,17368,14M,"10,000,000+",Free,0,Everyone,Lifestyle,"June 27, 2018",5.1.3,4.0 and up
1731,PASS by KT (formerly KT certified),LIFESTYLE,0.0,7869,21M,"1,000,000+",Free,0,Everyone,Lifestyle,"August 1, 2018",02.00.06,4.4 and up
1732,YouTube TV - Watch & Record Live TV,FAMILY,1.0,38517,17M,"1,000,000+",Free,0,Teen,Entertainment,"August 2, 2018",2.29.2,5.0 and up
1733,Dp For FB,PHOTOGRAPHY,1.0,12,2.0M,"1,000+",Free,0,Teen,Photography,"October 19, 2017",1.0,4.1 and up
1734,DM airdisk,TOOLS,0.0,11,11M,"1,000+",Free,0,Everyone,Tools,"August 5, 2016",1.7.2,3.0 and up
1735,Monument Valley 2,GAME,1.0,9394,33M,"100,000+",Paid,$4.99,Everyone,Puzzle,"November 30, 2017",1.2.9,4.4 and up
1736,PORTABLE SOCCER DX Lite,SPORTS,1.0,15068,2.5M,"1,000,000+",Free,0,Everyone,Sports,"June 19, 2018",3.4,2.3 and up
1737,Block Craft 3D: Building Simulator Games For Free,GAME,1.0,946926,57M,"50,000,000+",Free,0,Everyone,Simulation,"March 5, 2018",2.10.2,4.0.3 and up
1738,Super Slime Blitz - Gumball,FAMILY,1.0,5395,58M,"500,000+",Free,0,Everyone,Arcade;Action & Adventure,"May 24, 2018",1.2.0,4.0.3 and up
1739,"Decibel X PRO - Sound Meter dBA, Noise Detector",TOOLS,1.0,60,6.9M,"1,000+",Paid,$3.99,Everyone,Tools,"July 11, 2018",4.4.1,4.1 and up
1740,Super Hearing Super Ear Amplifier,MEDICAL,1.0,21,20M,"1,000+",Free,0,Everyone,Medical,"June 11, 2018",1.1,4.1 and up
1741,Glow Hockey,GAME,1.0,1703479,Varies with device,"100,000,000+",Free,0,Everyone,Arcade,"July 22, 2018",1.3.8,4.1 and up
1742,FK Mladá Boleslav,SPORTS,1.0,0,26M,10+,Free,0,Everyone,Sports,"March 18, 2018",2.0,4.1 and up
1743,OkCupid Dating,DATING,1.0,285726,15M,"10,000,000+",Free,0,Mature 17+,Dating,"July 30, 2018",11.10.1,4.1 and up
1744,Bh Public School,FAMILY,1.0,2,8.7M,10+,Free,0,Everyone,Education,"March 21, 2018",1.2,4.0.3 and up
1745,Ad Detector,TOOLS,0.0,208,730k,"50,000+",Free,0,Everyone,Tools,"July 28, 2014",1.0,2.3 and up
1746,LC-DB-LITE,PHOTOGRAPHY,1.0,0,2.3M,100+,Free,0,Everyone,Photography,"October 20, 2017",1.0,4.2 and up
1747,DC Comics,COMICS,1.0,25671,Varies with device,"1,000,000+",Free,0,Teen,Comics,"June 5, 2018",Varies with device,Varies with device
1748,BN Pro Play-b HD Text,LIBRARIES_AND_DEMO,1.0,34,417k,"1,000+",Free,0,Everyone,Libraries & Demo,"February 5, 2017",2.3.2,1.6 and up
1749,BaBe Lite - Read Quota Saving News,NEWS_AND_MAGAZINES,1.0,9548,15M,"1,000,000+",Free,0,Everyone,News & Magazines,"August 1, 2018",6.6.4,4.0 and up
1750,Fertilizer Removal By Crop,BOOKS_AND_REFERENCE,1.0,295,6.9M,"50,000+",Free,0,Everyone,Books & Reference,"June 20, 2017",2.0.3,4.0.3 and up
1751,Pistolet FN 1906 expliqué,BOOKS_AND_REFERENCE,1.0,0,5.2M,10+,Paid,$5.49,Everyone,Books & Reference,"August 17, 2014",Android 2.0 - 2014,1.6 and up
1752,WannaMeet – Dating & Chat App,DATING,1.0,6701,11M,"1,000,000+",Free,0,Mature 17+,Dating,"June 29, 2018",5.16.2,4.0.3 and up
1753,Houzz Interior Design Ideas,HOUSE_AND_HOME,1.0,353799,Varies with device,"10,000,000+",Free,0,Everyone,House & Home,"August 1, 2018",Varies with device,Varies with device
1754,Tutorials for R Programming Offline,FAMILY,1.0,2,4.4M,500+,Free,0,Everyone,Education,"December 4, 2017",1.0,4.0 and up
1755,Butterfly Pixel Art - coloring by number,FAMILY,1.0,769,13M,"100,000+",Free,0,Everyone,Entertainment,"April 4, 2018",1.06,4.1 and up
1756,DG Surveyor,BUSINESS,0.0,5,6.8M,50+,Paid,$8.99,Everyone,Business,"April 30, 2018",6.00,4.0.3 and up
1757,MakeMyTrip-Flight Hotel Bus Cab IRCTC Rail Booking,TRAVEL_AND_LOCAL,1.0,599872,Varies with device,"10,000,000+",Free,0,Everyone,Travel & Local,"August 4, 2018",7.3.3,4.4 and up
1758,SugarSync,PRODUCTIVITY,1.0,16420,3.8M,"1,000,000+",Free,0,Everyone,Productivity,"May 16, 2018",4.4.0.4,2.3.3 and up
1759,OpenRice,FOOD_AND_DRINK,0.0,14952,39M,"1,000,000+",Free,0,Everyone,Food & Drink,"June 8, 2018",5.8.5,4.1 and up
1760,ZenUI Launcher,PERSONALIZATION,1.0,1141545,15M,"50,000,000+",Free,0,Everyone,Personalization,"July 31, 2018",Varies with device,Varies with device
1761,ReDNAKET DB Normalization Tool,TOOLS,1.0,0,940k,10+,Paid,$0.99,Everyone,Tools,"February 3, 2016",1.0.2,5.0 and up
1762,Guide to Nikon Df,PHOTOGRAPHY,1.0,1,663k,10+,Paid,$29.99,Everyone,Photography,"February 18, 2014",2.0.0,4.0.3 and up
1763,Absolute RC Heli Simulator,SPORTS,0.0,654,50M,"10,000+",Paid,$4.99,Everyone,Sports,"December 20, 2017",3.29,4.1 and up
1764,PBA® Bowling Challenge,SPORTS,1.0,242096,87M,"10,000,000+",Free,0,Everyone,Sports,"August 2, 2018",3.4.4,4.1 and up
1765,DAILY: Free Classifieds App for Android,LIFESTYLE,1.0,5025,Varies with device,"500,000+",Free,0,Mature 17+,Lifestyle,"August 2, 2018",Varies with device,Varies with device
1766,Sky People (SPI): A secure blind date through authentication by Seoul National University,DATING,0.0,894,14M,"100,000+",Free,0,Mature 17+,Dating,"July 17, 2018",3.1.3,4.1 and up
1767,Ba ba black sheep offline Video,PARENTING,1.0,20,17M,"10,000+",Free,0,Everyone,Parenting,"July 2, 2017",1.1,4.0.3 and up
1768,CR Tracker for Chests,TOOLS,1.0,6,4.5M,50+,Free,0,Everyone,Tools,"June 5, 2018",1.0.2,4.1 and up
1769,"Chatting - Free chat, random chat, boyfriend, girlfriend",DATING,1.0,2506,6.1M,"500,000+",Free,0,Mature 17+,Dating,"June 15, 2017",3.0.0,4.0 and up
1770,BA SALES,COMMUNICATION,1.0,0,2.9M,1+,Free,0,Everyone,Communication,"January 31, 2018",1.0,4.0.3 and up
1771,CB Register,FAMILY,1.0,1,5.6M,10+,Free,0,Everyone,Entertainment,"June 27, 2018",1.0,4.1 and up
1772,House app: beautiful everyday ~,HOUSE_AND_HOME,1.0,2669,10M,"500,000+",Free,0,Teen,House & Home,"August 3, 2018",2.0.6.9,4.1 and up
1773,Top Mercato: football news,SPORTS,1.0,16016,6.9M,"1,000,000+",Free,0,Everyone,Sports,"January 7, 2016",2.7.0,4.2 and up
1774,Brave Browser: Fast AdBlocker,COMMUNICATION,1.0,40241,Varies with device,"5,000,000+",Free,0,Everyone,Communication,"June 30, 2018",1.0.52,4.1 and up
1775,ixigo Cabs-Compare & Book Taxi,MAPS_AND_NAVIGATION,1.0,11838,9.2M,"1,000,000+",Free,0,Everyone,Maps & Navigation,"April 9, 2018",1.7.3,4.0.3 and up
1776,Browsery by Barnes & Noble,BOOKS_AND_REFERENCE,1.0,146,34M,"5,000+",Free,0,Everyone,Books & Reference,"April 30, 2018",1.1.3,4.4 and up
1777,BeWild Free Dating & Chat App,DATING,0.0,1999,8.0M,"100,000+",Free,0,Mature 17+,Dating,"February 3, 2017",1.6.5,4.2 and up
1778,LOL Pics (Funny Pictures),ENTERTAINMENT,1.0,67554,7.7M,"1,000,000+",Free,0,Teen,Entertainment,"September 15, 2015",4.0,2.3.3 and up
1779,Klix.ba,NEWS_AND_MAGAZINES,0.0,3647,5.7M,"100,000+",Free,0,Everyone,News & Magazines,"February 25, 2017",4.1.1,4.0 and up
1780,Ab Workouts,HEALTH_AND_FITNESS,1.0,27501,7.0M,"1,000,000+",Free,0,Everyone,Health & Fitness,"January 5, 2018",5.1.9,4.0 and up
1781,AZ REMOTE CONTROL,TOOLS,0.0,149,2.8M,"50,000+",Free,0,Everyone,Tools,"March 28, 2016",1.9,3.2 and up
1782,BGCN TV,VIDEO_PLAYERS,0.0,4334,4.9M,"100,000+",Free,0,Everyone,Video Players & Editors,"November 4, 2015",3.1.891,Varies with device
1783,Cloud Print,PRODUCTIVITY,1.0,282460,Varies with device,"500,000,000+",Free,0,Everyone,Productivity,"May 23, 2018",Varies with device,Varies with device
1784,Microsoft Edge,COMMUNICATION,1.0,27187,66M,"5,000,000+",Free,0,Everyone,Communication,"July 28, 2018",42.0.0.2059,4.4 and up
1785,Fast like a Fox,GAME,1.0,104389,12M,"5,000,000+",Free,0,Everyone,Adventure,"April 17, 2018",1.4.0,4.2 and up
1786,Fever Care,MEDICAL,0.0,19,2.2M,"5,000+",Free,0,Everyone,Medical,"May 12, 2018",1.4.15-free,4.0.3 and up
1787,Alba Heaven - Alvarez Job Portal Services,BUSINESS,0.0,8941,12M,"5,000,000+",Free,0,Everyone,Business,"July 31, 2018",4.6.30,4.0.3 and up
1788,Code on the egg,TOOLS,0.0,146,784k,"10,000+",Free,0,Everyone,Tools,"April 10, 2017",1.15,2.2 and up
1789,Messenger,SOCIAL,1.0,68025,3.9M,"10,000,000+",Free,0,Everyone,Social,"April 16, 2018",1.0,4.1 and up
1790,Turbo AI™ - Personal assistant,PRODUCTIVITY,0.0,91,2.8M,"5,000+",Free,0,Everyone,Productivity,"July 16, 2018",0.0.52,4.0.3 and up
1791,Ultimate Fighter Z,GAME,1.0,180,24M,"5,000+",Free,0,Everyone,Action,"July 16, 2018",2.0,4.4 and up
1792,Future Cloud,PRODUCTIVITY,1.0,1075,Varies with device,"100,000+",Free,0,Everyone,Productivity,"January 22, 2018",Varies with device,4.4 and up
1793,Bar-B-Q Recipes,FOOD_AND_DRINK,1.0,18,3.5M,"5,000+",Free,0,Everyone,Food & Drink,"August 15, 2016",1.0,4.0 and up
1794,AZ Lottery Players Club,FAMILY,1.0,97,8.9M,"10,000+",Free,0,Everyone,Entertainment,"July 9, 2018",2.0.0(9),4.0.3 and up
1795,Top #5 Bσσkie in AU,SPORTS,1.0,0,10.0M,100+,Free,0,Everyone,Sports,"December 6, 2017",1.0,4.0 and up
1796,FH® Cost Lookup / FH® CCSalud,MEDICAL,1.0,30,4.1M,"1,000+",Free,0,Everyone,Medical,"June 21, 2017",4.1.0,4.0.3 and up
1797,Safe Notes - Secure Ad-free notepad,PRODUCTIVITY,1.0,3362,756k,"50,000+",Free,0,Everyone,Productivity,"November 21, 2017",1.7,4.0 and up
1798,FX LITE BO,FINANCE,0.0,73,14M,"10,000+",Free,0,Everyone,Finance,"October 18, 2016",1.5.0,4.1 and up
1799,Shoot! DX - lights for FREE,GAME,1.0,4,Varies with device,100+,Free,0,Everyone,Action,"June 23, 2018",Varies with device,Varies with device
1800,BP Fitness Lead Scanner,EVENTS,1.0,0,6.7M,1+,Paid,$109.99,Everyone,Events,"August 23, 2017",0.0.1,4.1 and up
1801,Sin City Crime Simulator V - Gangster,GAME,1.0,2113,67M,"100,000+",Free,0,Everyone 10+,Action,"April 23, 2018",Varies with device,4.0.3 and up
1802,BJ TIKET,BUSINESS,1.0,3,3.4M,10+,Free,0,Everyone,Business,"February 9, 2018",8.0,4.0.3 and up
1803,Bt Notifier -Smartwatch notice,TOOLS,0.0,632,8.2M,"500,000+",Free,0,Everyone,Tools,"May 23, 2017",1.0,6.0 and up
1804,BD Briight: Your Diabetes Personal Assistant,MEDICAL,1.0,17,37M,"5,000+",Free,0,Everyone,Medical,"July 19, 2018",1.5.0,5.0 and up
1805,Co-op Connections,SHOPPING,0.0,8,18M,"1,000+",Free,0,Everyone,Shopping,"May 3, 2018",1.5,4.1 and up
1806,E-Z App™ Train Control,TOOLS,1.0,33,46M,"1,000+",Free,0,Everyone,Tools,"December 6, 2016",1.0,4.3 and up
1807,Club Penguin Island,FAMILY,0.0,107441,32M,"1,000,000+",Free,0,Everyone,Casual;Action & Adventure,"July 10, 2018",1.10.5,4.4 and up
1808,Cool Popular Ringtones 2018 🔥,LIBRARIES_AND_DEMO,1.0,60170,28M,"1,000,000+",Free,0,Everyone,Libraries & Demo,"July 13, 2018",2.4,5.0 and up
1809,Pyaar Ek Dhoka hai Game - Anti Valentines,FAMILY,1.0,8,17M,100+,Free,0,Everyone,Casual,"February 11, 2018",3,4.1 and up
1810,Pic Stitch - #1 Collage Maker,PHOTOGRAPHY,1.0,15426,50M,"1,000,000+",Free,0,Everyone,Photography,"July 24, 2018",3.8.3,5.1 and up
1811,SharedCare™ Co-parenting,PARENTING,0.0,23,Varies with device,100+,Paid,$4.59,Everyone,Parenting,"June 19, 2016",3.0.3,4.0 and up
1812,Learn English with Wlingua,EDUCATION,1.0,314299,3.3M,"10,000,000+",Free,0,Everyone,Education,"May 2, 2018",1.94.9,4.0 and up
1813,Telstra,LIFESTYLE,0.0,4260,6.3M,"5,000,000+",Free,0,Everyone,Lifestyle,"August 8, 2017",6.1,2.3.3 and up
1814,English Grammar Test,EDUCATION,1.0,4075,5.1M,"500,000+",Free,0,Everyone,Education,"June 22, 2018",2.1.8,4.0.3 and up
1815,"Migraine, Headache Diary HeadApp Pro",MEDICAL,1.0,156,22M,500+,Paid,$3.49,Everyone,Medical,"March 14, 2018",1.10.0.user.pro.release,4.4 and up
1816,DM security - Dragon Mobile,TOOLS,0.0,27,3.0M,"1,000+",Free,0,Everyone,Tools,"April 26, 2017",1.1.1,4.1 and up
1817,FO Bixby,PERSONALIZATION,1.0,5,861k,100+,Paid,$0.99,Everyone,Personalization,"April 25, 2018",0.2,7.0 and up
1818,DL Hughley,FAMILY,1.0,12,10M,"1,000+",Free,0,Mature 17+,Entertainment,"March 23, 2018",2.0.4,4.1 and up
1819,X Back - Icon Pack,PERSONALIZATION,1.0,56,26M,"10,000+",Paid,$0.99,Everyone,Personalization,"June 29, 2018",1.6.2,4.1 and up
1820,VAN NIAN 2018 - Vietnamese Calendar,EVENTS,1.0,37,16M,"10,000+",Free,0,Everyone,Events,"November 27, 2017",1.0,4.0 and up
1821,USE Credit Union Mobile,FINANCE,1.0,964,14M,"10,000+",Free,0,Everyone,Finance,"June 12, 2018",5.9.1.0,5.0 and up
1822,CT Neck,MEDICAL,1.0,7,8.9M,"1,000+",Free,0,Everyone,Medical,"January 20, 2018",2.0,4.0 and up
1823,ODTMobile,BUSINESS,0.0,15,2.7M,"10,000+",Free,0,Everyone,Business,"March 10, 2016",3.2,2.2 and up
1824,Ag Guardian,PRODUCTIVITY,1.0,1,2.0M,100+,Free,0,Everyone,Productivity,"December 28, 2015",1.0.0,4.0 and up
1825,GearBest Online Shopping,SHOPPING,1.0,245104,35M,"5,000,000+",Free,0,Everyone,Shopping,"August 1, 2018",3.6.0,4.0.3 and up
1826,5 Nights at Cube Pizzeria City,GAME,0.0,2691,52M,"100,000+",Free,0,Teen,Adventure,"February 22, 2017",1.2,4.2 and up
1827,Chat Kids - Chat Room For Kids,DATING,1.0,6,4.9M,100+,Free,0,Mature 17+,Dating,"July 24, 2018",1.0,4.0.3 and up
1828,BJ Bridge Acol Beginner 2018,GAME,0.0,11,4.8M,"5,000+",Free,0,Everyone,Card,"May 21, 2018",6.2-begina,4.0 and up
1829,FunnyPixels - Color by number Sandbox,FAMILY,1.0,1977,3.8M,"100,000+",Free,0,Everyone,Entertainment,"February 21, 2018",1.0.4,4.0.3 and up
1830,Etihad Airways,TRAVEL_AND_LOCAL,1.0,3674,61M,"500,000+",Free,0,Everyone,Travel & Local,"July 9, 2018",1.8.1 (41),5.0 and up
1831,Counter Deck Calculator for CR,TOOLS,1.0,3446,19M,"500,000+",Free,0,Everyone,Tools,"February 4, 2017",1.3.0,4.1 and up
1832,App Seguridad AV Villas,FINANCE,0.0,251,5.7M,"50,000+",Free,0,Everyone,Finance,"October 12, 2017",1.0.5,4.0 and up
1833,Kenmore Smart AC,LIFESTYLE,0.0,71,24M,"5,000+",Free,0,Everyone,Lifestyle,"May 8, 2017",1.0.11,4.4 and up
1834,EC - AP & Telangana,BOOKS_AND_REFERENCE,0.0,10,3.0M,"5,000+",Free,0,Everyone,Books & Reference,"November 10, 2017",1.0,4.0.3 and up
1835,Human Dx,MEDICAL,1.0,6,16M,500+,Free,0,Everyone,Medical,"August 4, 2018",Human Dx,6.0 and up
1836,SOLEM AG,TOOLS,1.0,1,51M,"1,000+",Free,0,Everyone,Tools,"September 19, 2017",1.0.2,4.0 and up
1837,BJ's Wholesale Club,SHOPPING,1.0,4099,17M,"100,000+",Free,0,Everyone,Shopping,"July 27, 2018",2.0.10,4.1 and up
1838,CJ Fallon eBook Reader,FAMILY,0.0,76,14M,"5,000+",Free,0,Everyone,Education,"February 13, 2014",2.2.1,3.0 and up
1839,Flights,TRAVEL_AND_LOCAL,1.0,18039,3.1M,"1,000,000+",Free,0,Everyone,Travel & Local,"July 26, 2018",3.6.6,4.1 and up
1840,AlReader -any text book reader,BOOKS_AND_REFERENCE,1.0,90468,5.9M,"5,000,000+",Free,0,Everyone,Books & Reference,"May 27, 2018",1.911805270,2.3 and up
1841,CB SMART LIFE,TOOLS,1.0,30,9.0M,500+,Free,0,Everyone,Tools,"July 3, 2018",2.4.0,4.1 and up
1842,CZ File Manager,TOOLS,0.0,876,8.7M,"1,000,000+",Free,0,Everyone,Tools,"August 6, 2018",3.2.3,4.2 and up
1843,Gun Club Armory,GAME,1.0,55014,28M,"1,000,000+",Free,0,Teen,Action,"December 4, 2017",1.2.6,4.1 and up
1844,Weather Data CH,WEATHER,1.0,15,Varies with device,500+,Paid,$2.99,Everyone,Weather,"August 9, 2016",Varies with device,Varies with device
1845,Google Keep,PRODUCTIVITY,1.0,691474,Varies with device,"100,000,000+",Free,0,Everyone,Productivity,"August 6, 2018",Varies with device,Varies with device
1846,Heavy Bus Simulator,FAMILY,1.0,252006,26M,"5,000,000+",Free,0,Everyone,Simulation,"March 15, 2018",1.084,2.3 and up
1847,Undead Assault,GAME,1.0,4704,37M,"100,000+",Free,0,Everyone 10+,Arcade,"November 4, 2015",1.4.6,2.3 and up
1848,USMLE Step 2 CK Cards Lite,FAMILY,0.0,28,1.5M,"5,000+",Free,0,Everyone,Education,"May 20, 2014",2.46,2.2 and up
1849,Tennis Champion 3D - Online Sports Game,SPORTS,0.0,170973,43M,"5,000,000+",Free,0,Everyone,Sports,"June 6, 2018",2.1,4.1 and up
1850,"StubHub - Tickets to Sports, Concerts & Events",EVENTS,0.0,26089,Varies with device,"5,000,000+",Free,0,Everyone,Events,"August 2, 2018",4.2.1,Varies with device
1851,BM FlexCheck,AUTO_AND_VEHICLES,0.0,2,34M,100+,Free,0,Everyone,Auto & Vehicles,"June 8, 2018",1.10.1,5.0 and up
1852,"Homes.com 🏠 For Sale, Rent",HOUSE_AND_HOME,0.0,6000,18M,"1,000,000+",Free,0,Everyone,House & Home,"July 28, 2018",9.6.8,4.1 and up
1853,Guns'n'Glory Zombies Premium,FAMILY,1.0,313,34M,"5,000+",Paid,$2.99,Everyone 10+,Strategy,"July 15, 2016",1.1.5,2.3.3 and up
1854,Message AI - Write Better Messages,TOOLS,1.0,0,7.9M,100+,Paid,$2.99,Mature 17+,Tools,"July 4, 2018",1.3.1,5.0 and up
1855,BK Murli Dictionary (H to E),FAMILY,1.0,106,3.9M,"10,000+",Free,0,Everyone,Education,"November 19, 2016",1.1,2.2 and up
1856,justWink Greeting Cards,LIFESTYLE,1.0,69177,15M,"1,000,000+",Free,0,Teen,Lifestyle,"August 2, 2017",2.7.3,4.4 and up
1857,AJ Player,VIDEO_PLAYERS,1.0,18,1.7M,100+,Free,0,Everyone,Video Players & Editors,"April 22, 2018",1.6.3.1,5.0 and up
1858,Sweet Baby Girl - Dream House and Play Time,FAMILY,0.0,95537,58M,"10,000,000+",Free,0,Everyone,Educational;Education,"July 13, 2018",2.2.54,4.4 and up
1859,Geo Tracker - GPS tracker,TRAVEL_AND_LOCAL,1.0,42849,Varies with device,"1,000,000+",Free,0,Everyone,Travel & Local,"August 10, 2016",Varies with device,Varies with device
1860,B&W Photo Filter Editor,PHOTOGRAPHY,0.0,205,2.4M,"50,000+",Free,0,Everyone,Photography,"July 29, 2017",1.0.5,4.0 and up
1861,BetterMe: Weight Loss Workouts,HEALTH_AND_FITNESS,1.0,14709,15M,"5,000,000+",Free,0,Everyone,Health & Fitness,"July 26, 2018",2.8.2,5.0 and up
1862,ByssWeather for Wear OS,WEATHER,1.0,19666,Varies with device,"1,000,000+",Free,0,Everyone,Weather,"April 11, 2018",Varies with device,Varies with device
1863,Archos File Manager,PRODUCTIVITY,0.0,2131,2.3M,"5,000,000+",Free,0,Everyone,Productivity,"April 22, 2016",4.1.4,4.1 and up
1864,PlayStation App,ENTERTAINMENT,1.0,613059,25M,"50,000,000+",Free,0,Everyone,Entertainment,"July 26, 2018",18.07.0,4.1 and up
1865,Universal AC Remote Control,TOOLS,0.0,40934,5.2M,"1,000,000+",Free,0,Everyone,Tools,"July 28, 2018",acremotecontrol18,4.0.3 and up
1866,QR Code Pro,PRODUCTIVITY,1.0,5865,15M,"100,000+",Paid,$4.49,Everyone,Productivity,"July 18, 2018",1.0,4.1 and up
1867,video player,VIDEO_PLAYERS,1.0,26421,Varies with device,"1,000,000+",Free,0,Everyone,Video Players & Editors,"May 30, 2018",3.4.5,4.1 and up
1868,CY Konum,PERSONALIZATION,1.0,1,1.3M,100+,Free,0,Everyone,Personalization,"June 27, 2018",3.0,5.1 and up
1869,.R,TOOLS,1.0,259,203k,"10,000+",Free,0,Everyone,Tools,"September 16, 2014",1.1.06,1.5 and up
1870,CS Browser | #1 & BEST BROWSER,COMMUNICATION,0.0,52,2.1M,"1,000+",Free,0,Everyone,Communication,"August 28, 2015",2.0,3.0 and up
1871,AQ: First Contact,FAMILY,1.0,0,Varies with device,"50,000+",Free,0,Everyone,Strategy,"July 26, 2018",Varies with device,Varies with device
1872,Endless Numbers,FAMILY,1.0,2952,37M,"500,000+",Free,0,Everyone,Education;Education,"June 19, 2018",1.2.0,5.1 and up
1873,Elevate - Brain Training Games,EDUCATION,1.0,248912,Varies with device,"5,000,000+",Free,0,Everyone,Education,"July 30, 2018",Varies with device,Varies with device
1874,Water Surfer Floating BMX Bicycle Rider Racing,FAMILY,1.0,551,38M,"100,000+",Free,0,Everyone,Simulation,"July 3, 2017",1.0,2.3 and up
1875,Fast News,NEWS_AND_MAGAZINES,1.0,84957,Varies with device,"1,000,000+",Free,0,Everyone 10+,News & Magazines,"January 13, 2018",Varies with device,Varies with device
1876,"Victoria, BC | Tour City",TRAVEL_AND_LOCAL,1.0,20,15M,"1,000+",Free,0,Everyone,Travel & Local,"August 2, 2016",1.7,4.0 and up
1877,CNY Slots : Gong Xi Fa Cai 发财机,GAME,0.0,33,71M,"5,000+",Free,0,Teen,Casino,"June 6, 2017",1.2,4.0.3 and up
1878,My BP Lab,HEALTH_AND_FITNESS,0.0,186,25M,"10,000+",Free,0,Everyone,Health & Fitness,"May 19, 2018",1.1.0,8.0 and up
1879,Jobs in Alabama - Jobs in Alba,BUSINESS,1.0,11622,Varies with device,"5,000,000+",Free,0,Everyone,Business,"July 26, 2018",Varies with device,Varies with device
1880,Build a Bridge!,FAMILY,1.0,263454,74M,"10,000,000+",Free,0,Everyone,Puzzle,"August 2, 2018",2.1.1,4.1 and up
1881,AR Dragon Pet,FAMILY,1.0,0,Varies with device,"50,000+",Free,0,Everyone,Casual,"November 9, 2017",Varies with device,Varies with device
1882,BANGLA TV 3G/4G,SPORTS,1.0,142,5.3M,"100,000+",Free,0,Everyone,Sports,"June 7, 2018",2.4,4.0 and up
1883,FaFaFa™ Gold Casino: Free slot machines,GAME,1.0,11051,44M,"1,000,000+",Free,0,Teen,Casino,"June 25, 2018",1.9.58,4.0.3 and up
1884,Daily K-Talk,FAMILY,1.0,264,60M,"10,000+",Free,0,Everyone,Education,"July 31, 2018",v8[1.0.10],2.3 and up
