App,Category,Rating,Reviews,Type,content_rating,new_genres,date_update,new_day,new_year,size_kb,new_installs,new_price,new_month_num,new_version,new_subversion,min_android,letters_app,words_app,rate_reviews_install,rate_version_subversion,rate_reviews_size,rate_installs_size,mean_reviews_category,mean_reviews_genres
Sticker Market: Emoji keyboard,Entertainment,1,303,Free,Teen,Entertainment,2017-12-14,14,2017,44000,10000,0,12,1,2,4.2,30,4,0.0303,0.5,0.00688636363636364,0.227272727272727,356413.698113208,109901.17827298
Qarabağ FK,Sports,1,9,Free,Everyone,Sports,2018-08-01,1,2018,5500,100,0,8,1,14,4.2,10,2,0.09,0.0714285714285714,0.00163636363636364,0.0181818181818182,102687.961904762,169652.671296296
UC Browser Mini -Tiny Fast Private & Secure,Communication,1,3648120,Free,Teen,Communication,2018-07-18,18,2018,3300,1e+08,0,7,11,4,4,43,8,0.0364812,2.75,1105.49090909091,30303.0303030303,1284007.25128205,1284007.25128205
DT Driving Test Theory,Family,1,477,Free,Everyone,Education,2018-02-22,22,2018,1600,10000,0,2,1,1,,22,4,0.0477,1,0.298125,6.25,64330.0062836625,33912.0745920746
BU Study,Family,1,7,Free,Everyone,Education,2017-12-07,7,2017,5600,10,0,12,1,0,,8,2,0.7,0,0.00125,0.00178571428571429,64330.0062836625,33912.0745920746
591 Housing Trading - Hong Kong,House_and_home,1,3522,Free,Everyone,House & Home,2018-08-02,2,2018,15000,1e+05,0,8,3,10,4,31,6,0.03522,0.3,0.2348,6.66666666666667,22359.9285714286,22359.9285714286
Register.ca Mobile,Productivity,1,0,Free,Everyone,Productivity,2016-08-19,19,2016,1200,100,0,8,2,0,5,18,2,0,0,0,0.0833333333333333,152064.489270386,152064.489270386
Klara weather,Weather,1,36900,Free,Everyone,Weather,2018-07-28,28,2018,4800,5e+05,0,7,1,3,4,13,2,0.0738,0.333333333333333,7.6875,104.166666666667,168071.108695652,168071.108695652
Neighborhoods & Apartments,Lifestyle,0,2042,Free,Everyone,Lifestyle,2015-08-28,28,2015,3000,1e+05,0,8,3,1,4,26,3,0.02042,3,0.680666666666667,33.3333333333333,38441.6803652968,38441.6803652968
Will it Crush?,Game,0,25825,Free,Everyone,Simulation,2018-05-22,22,2018,16000,5e+06,0,5,1,3,4.4,14,3,0.005165,0.333333333333333,1.6140625,312.5,651322.235800344,105866.105263158
Masha and Bear: Cooking Dash,Family,1,151374,Free,Everyone,Role Playing,2018-06-05,5,2018,54000,1e+07,0,6,1,2,4.1,28,5,0.0151374,0.5,2.80322222222222,185.185185185185,64330.0062836625,172010.873015873
JoJo Siwa Top Hits Music,Dating,1,0,Free,Teen,Dating,2018-07-26,26,2018,4900,10,0,7,1,0,,24,5,0,0,0,0.00204081632653061,19562.57,19562.57
CB Land,Business,1,0,Free,Everyone,Business,2018-03-13,13,2018,6400,100,0,3,6,3,4.1,7,2,0,2,0,0.015625,17597.0037878788,17597.0037878788
Pedometer,Health_and_fitness,1,400592,Free,Everyone,Health & Fitness,2018-07-04,4,2018,2900,1e+07,0,7,5,23,4,9,1,0.0400592,0.217391304347826,138.135172413793,3448.27586206897,59146.6588235294,58696.7965116279
Sight Words Pre-K to Grade-3,Family,1,1185,Free,Everyone,Education,2018-06-17,17,2018,40000,1e+05,0,6,1,5,4.1,28,5,0.01185,0.2,0.029625,2.5,64330.0062836625,33912.0745920746
EO Mumbai,Communication,1,0,Free,Everyone,Communication,2018-02-21,21,2018,11000,10,0,2,1,2,4.1,9,2,0,0.5,0,0.000909090909090909,1284007.25128205,1284007.25128205
CG Jobs,Family,1,8,Free,Everyone,Education,2018-08-01,1,2018,14000,10,0,8,1,1,4.2,7,2,0.8,1,0.000571428571428571,0.000714285714285714,64330.0062836625,33912.0745920746
"Waplog - Free Chat, Dating App, Meet Singles",Social,1,522018,Free,Mature 17+,Social,2018-08-02,2,2018,,1e+07,0,8,,,,44,8,0.0522018,,,,1290707.14925373,1290707.14925373
I Screen Dialer,Tools,1,8137,Free,Everyone,Tools,2018-02-25,25,2018,3900,1e+06,0,2,1,11,4.3,15,3,0.008137,0.0909090909090909,2.08641025641026,256.410256410256,300009.696252466,300009.696252466
Them Bombs: co-op board game play with 2-4 friends,Game,1,8038,Free,Teen,Board,2018-07-12,12,2018,52000,1e+05,0,7,1,4,4.1,50,9,0.08038,0.25,0.154576923076923,1.92307692307692,651322.235800344,58453.775
Baby Tiger Care - My Cute Virtual Pet Friend,Family,1,432,Free,Everyone 10+,Education,2018-07-27,27,2018,63000,1e+05,0,7,1,0,4.4,44,9,0.00432,0,0.00685714285714286,1.58730158730159,64330.0062836625,33912.0745920746
Mad Skills Motocross,Game,0,32522,Free,Everyone,Racing,2016-01-25,25,2016,44000,1e+06,0,1,1,2,2,20,3,0.032522,0.5,0.739136363636364,22.7272727272727,651322.235800344,602320.983050848
Android P 9.0,Personalization,0,12,Free,Everyone,Personalization,2018-05-30,30,2018,4900,500,0,5,2,0,,13,3,0.024,0,0.00244897959183673,0.102040816326531,131428.547169811,131428.547169811
EF Utilities,Tools,1,0,Free,Everyone,Tools,2018-06-07,7,2018,3600,5,0,6,1,1,4.3,12,2,0,1,0,0.00138888888888889,300009.696252466,300009.696252466
Doomsday Preppers™,Family,1,137167,Free,Everyone,Strategy,2017-01-17,17,2017,52000,1e+06,0,1,,48,,18,2,0.137167,,2.63782692307692,19.2307692307692,64330.0062836625,1495469.45614035
AT&T U-verse,Family,0,38606,Free,Everyone,Entertainment,2018-06-13,13,2018,96000,1e+06,0,6,5,9,4.1,12,2,0.038606,0.555555555555556,0.402145833333333,10.4166666666667,64330.0062836625,109901.17827298
Adult Color by Number Book - Paint Mandala Pages,Family,1,997,Free,Everyone,Entertainment,2018-06-27,27,2018,,1e+05,0,6,2,4,4.1,48,9,0.00997,0.5,,,64330.0062836625,109901.17827298
EY ATL Fuel Calculator,Productivity,1,15,Free,Everyone,Productivity,2018-07-21,21,2018,3100,500,0,7,12,,2.1,22,4,0.03,,0.00483870967741936,0.161290322580645,152064.489270386,152064.489270386
ck-modelcars Shop,Shopping,1,118,Free,Everyone,Shopping,2018-06-15,15,2018,6400,5000,0,6,5,29,5,17,2,0.0236,0.172413793103448,0.0184375,0.78125,204691.669811321,204691.669811321
"Univision Deportes: Liga MX, MLS, Fútbol Live",Sports,1,75545,Free,Everyone,Sports,2018-07-23,23,2018,,5e+06,0,7,,,,45,7,0.015109,,,,102687.961904762,169652.671296296
DB for Fallout Shelter,Family,0,3323,Free,Everyone,Simulation,2018-03-29,29,2018,47000,1e+05,0,3,1,9,4,22,4,0.03323,0.111111111111111,0.0707021276595745,2.12765957446809,64330.0062836625,105866.105263158
Receipt Hog - Receipts to Cash,Shopping,1,72596,Free,Teen,Shopping,2018-08-03,3,2018,19000,1e+06,0,8,4,2,4.1,30,6,0.072596,2,3.82084210526316,52.6315789473684,204691.669811321,204691.669811321
EP Calipers,Medical,1,4,Paid,Everyone,Medical,2018-02-10,10,2018,15000,100,0.99,2,2,12,4,11,2,0.04,0.166666666666667,0.000266666666666667,0.00666666666666667,2982.98023715415,2982.98023715415
Battle Gems (AdventureQuest),Family,1,48427,Free,Everyone 10+,Puzzle,2018-03-31,31,2018,,5e+05,0,3,,,,28,3,0.096854,,,,64330.0062836625,180459.85
PlayTexas Hold'em Poker Free,Game,0,3543,Free,Teen,Card,2018-03-10,10,2018,,1e+06,0,3,,,,28,4,0.003543,,,,651322.235800344,187139.371428571
BR Classified,Business,1,0,Free,Everyone,Business,2017-08-30,30,2017,28000,50,0,8,1,0,4.2,13,2,0,0,0,0.00178571428571429,17597.0037878788,17597.0037878788
Woodman Deluxe,Game,0,82,Free,Everyone,Action,2015-07-06,6,2015,4400,5000,0,7,1,0,2.3,14,2,0.0164,0,0.0186363636363636,1.13636363636364,651322.235800344,473128.723404255
The Fish Master!,Game,1,15763,Free,Everyone,Arcade,2018-07-17,17,2018,54000,1e+06,0,7,1,6,4.1,16,3,0.015763,0.166666666666667,0.291907407407407,18.5185185185185,651322.235800344,337298.201754386
CM FILE MANAGER Pro,Business,1,2359,Paid,Everyone,Business,2016-02-16,16,2016,2700,10000,2.99,2,1,16,1.6,19,4,0.2359,0.0625,0.873703703703704,3.7037037037037,17597.0037878788,17597.0037878788
Drugs.com Medication Guide,Medical,1,15875,Free,Everyone,Medical,2018-05-22,22,2018,,1e+06,0,5,,,4.4,26,3,0.015875,,,,2982.98023715415,2982.98023715415
Preschool All-In-One,Family,1,9019,Free,Everyone,Casual,2018-03-28,28,2018,44000,1e+06,0,3,6,6,4,20,2,0.009019,1,0.204977272727273,22.7272727272727,64330.0062836625,610450.131944445
FarmersOnly Dating,Dating,0,1146,Free,Mature 17+,Dating,2016-02-25,25,2016,1400,1e+05,0,2,2,2,4,18,2,0.01146,1,0.818571428571429,71.4285714285714,19562.57,19562.57
Big Fish Casino – Play Slots & Vegas Games,Game,1,382100,Free,Teen,Casino,2018-07-11,11,2018,,1e+07,0,7,,,,42,9,0.03821,,,,651322.235800344,166196.608695652
Trello,Productivity,1,72513,Free,Everyone,Productivity,2018-07-18,18,2018,12000,5e+06,0,7,5,0,5,6,1,0.0145026,0,6.04275,416.666666666667,152064.489270386,152064.489270386
OST),Family,0,4444,Free,Everyone,Entertainment,2018-07-06,6,2018,10000,5e+05,0,7,3,0,4.1,4,1,0.008888,0,0.4444,50,64330.0062836625,109901.17827298
AH of Rocky Hill,Medical,1,0,Free,Everyone,Medical,2017-11-24,24,2017,29000,100,0,11,,0,,16,4,0,,0,0.00344827586206897,2982.98023715415,2982.98023715415
DMR BrandMeister Tool,Communication,0,78,Free,Everyone,Communication,2018-03-31,31,2018,2500,10000,0,3,4,5,6,21,3,0.0078,0.8,0.0312,4,1284007.25128205,1284007.25128205
"591 housing transactions - renting houses, middle-class houses, new cases, real-time registration, villas through the sky, apartment suites, MRT, buying a house selling prices, housing mortgages",House_and_home,1,24977,Free,Everyone,House & Home,2018-08-01,1,2018,21000,1e+06,0,8,3,5,,194,26,0.024977,0.6,1.18938095238095,47.6190476190476,22359.9285714286,22359.9285714286
Morse Machine for Ham Radio,Communication,1,341,Paid,Everyone,Communication,2015-02-20,20,2015,9600,5000,0.99,2,,,2,27,5,0.0682,,0.0355208333333333,0.520833333333333,1284007.25128205,1284007.25128205
Q-Ticketing,Maps_and_navigation,0,114,Free,Everyone,Maps & Navigation,2017-12-18,18,2017,19000,10000,0,12,1,8,4.3,11,1,0.0114,0.125,0.006,0.526315789473684,48306.2567567568,48306.2567567568
"Niche: College, K-12, and Neighborhood Search",Lifestyle,0,42,Free,Everyone,Lifestyle,2018-07-06,6,2018,26000,5000,0,7,1,0,4.4,45,6,0.0084,0,0.00161538461538462,0.192307692307692,38441.6803652968,38441.6803652968
Black People Meet Singles Date,Dating,0,10212,Free,Mature 17+,Dating,2018-07-25,25,2018,5000,1e+06,0,7,1,9,4.4,30,5,0.010212,0.111111111111111,2.0424,200,19562.57,19562.57
Free Dating App & Flirt Chat - Match with Singles,Dating,1,172460,Free,Mature 17+,Dating,2018-08-04,4,2018,3100,5e+06,0,8,1,,4,49,10,0.034492,,55.6322580645161,1612.90322580645,19562.57,19562.57
Noticias DF,Social,1,2,Free,Everyone,Social,2015-05-25,25,2015,2300,1000,0,5,1,0,2.3,11,2,0.002,0,0.000869565217391304,0.434782608695652,1290707.14925373,1290707.14925373
Profile pictures for WhatsApp,Personalization,1,10786,Free,Mature 17+,Personalization,2018-05-20,20,2018,9400,5e+05,0,5,2,3,4.3,29,4,0.021572,0.666666666666667,1.14744680851064,53.1914893617021,131428.547169811,131428.547169811
Moto Display,Tools,1,18239,Free,Everyone,Tools,2018-08-06,6,2018,,1e+07,0,8,,,,12,2,0.0018239,,,,300009.696252466,300009.696252466
Quiz for Clash Royale™,Family,0,3788,Free,Everyone,Entertainment,2018-07-18,18,2018,32000,1e+05,0,7,3,0,4.1,22,4,0.03788,0,0.118375,3.125,64330.0062836625,109901.17827298
Remix Second Hand,Shopping,1,867,Free,Everyone,Shopping,2018-08-02,2,2018,7500,1e+05,0,8,1,5,4.4,17,3,0.00867,0.2,0.1156,13.3333333333333,204691.669811321,204691.669811321
CD Supply,Business,1,0,Free,Mature 17+,Business,2018-05-28,28,2018,14000,5,0,5,2,3,5,9,2,0,0.666666666666667,0,0.000357142857142857,17597.0037878788,17597.0037878788
EZ Pass,Tools,0,15,Free,Everyone,Tools,2016-09-10,10,2016,228,5000,0,9,1,3,2.3,7,2,0.003,0.333333333333333,0.0657894736842105,21.9298245614035,300009.696252466,300009.696252466
Cъновник BG,Books_and_reference,1,13,Free,Everyone,Books & Reference,2017-01-21,21,2017,4100,1000,0,1,,,4,11,2,0.013,,0.00317073170731707,0.24390243902439,49897.8571428571,49076.9917355372
EY Divest,Business,1,0,Free,Everyone,Business,2017-07-11,11,2017,54000,5,0,7,1,0,4,9,2,0,0,0,9.25925925925926e-05,17597.0037878788,17597.0037878788
i miss you quotes and photos,Dating,1,0,Free,Everyone,Dating,2018-07-22,22,2018,5000,100,0,7,1,0,4,28,6,0,0,0,0.02,19562.57,19562.57
Recettes Faciles et Rapides,Food_and_drink,1,95,Free,Everyone,Food & Drink,2018-01-06,6,2018,12000,50000,0,1,3,0,2.3,27,4,0.0019,0,0.00791666666666667,4.16666666666667,61498.2985074627,61498.2985074627
"Hulu: Stream TV, Movies & more",Entertainment,0,319692,Free,Teen,Entertainment,2018-08-03,3,2018,,1e+07,0,8,,,5,30,6,0.0319692,,,,356413.698113208,109901.17827298
Perfect Piano,Game,1,828489,Free,Everyone,Music,2018-08-04,4,2018,,5e+07,0,8,,,,13,2,0.01656978,,,,651322.235800344,215383.636363636
Quora,Social,1,313633,Free,Teen,Social,2018-07-25,25,2018,,1e+07,0,7,,,,5,1,0.0313633,,,,1290707.14925373,1290707.14925373
NCLEX Multi-topic Nursing Exam Review-Quiz & notes,Medical,1,1,Free,Everyone,Medical,2018-07-24,24,2018,4200,10,0,7,1,0,,50,7,0.1,0,0.000238095238095238,0.00238095238095238,2982.98023715415,2982.98023715415
"BT Dating -Find your match, help cupid, be social",Social,1,158,Free,Mature 17+,Social,2018-07-19,19,2018,26000,50000,0,7,2,3,4.1,49,9,0.00316,0.666666666666667,0.00607692307692308,1.92307692307692,1290707.14925373,1290707.14925373
EF Summits,Travel_and_local,1,0,Free,Everyone,Travel & Local,2018-05-20,20,2018,19000,100,0,5,1,1,4.4,10,2,0,1,0,0.00526315789473684,160462.488721805,160462.488721805
Unstoppaball DX,Family,1,5,Paid,Everyone,Puzzle,2014-05-20,20,2014,40000,50,1.49,5,1,7,,15,2,0.1,0.142857142857143,0.000125,0.00125,64330.0062836625,180459.85
Drive 4x4 Luxury SUV Jeep,Game,1,2183,Free,Everyone,Racing,2018-07-10,10,2018,46000,5e+05,0,7,1,12,2.3,25,5,0.004366,0.0833333333333333,0.0474565217391304,10.8695652173913,651322.235800344,602320.983050848
3G to 4G Converter - Simulator,Tools,1,268,Free,Everyone,Tools,2018-02-21,21,2018,2400,10000,0,2,3,0,4.1,30,6,0.0268,0,0.111666666666667,4.16666666666667,300009.696252466,300009.696252466
ENCHANT U,Family,1,83977,Free,Everyone,Casual,2012-11-08,8,2012,11000,5e+05,0,11,1,2,2.1,9,2,0.167954,0.5,7.63427272727273,45.4545454545455,64330.0062836625,610450.131944445
ACCEPT CE MARKING,Productivity,1,0,Free,Everyone,Productivity,2018-06-28,28,2018,30000,10,0,6,1,0,4.1,17,3,0,0,0,0.000333333333333333,152064.489270386,152064.489270386
What is my IP address,Tools,1,4228,Free,Everyone,Tools,2018-07-02,2,2018,656,5e+05,0,7,2,,4,21,5,0.008456,,6.44512195121951,762.19512195122,300009.696252466,300009.696252466
Nubank,Finance,1,130582,Free,Everyone,Finance,2018-08-02,2,2018,24000,5e+06,0,8,,,,6,1,0.0261164,,5.44091666666667,208.333333333333,44660.4509803922,44660.4509803922
Don't Starve: Pocket Edition,Game,1,17988,Paid,Teen,Adventure,2018-07-25,25,2018,7900,1e+05,4.99,7,1,6,5,28,4,0.17988,0.166666666666667,2.27696202531646,12.6582278481013,651322.235800344,350283.321428571
Q,Family,1,69126,Free,Everyone,Puzzle,2018-04-19,19,2018,60000,1e+06,0,4,2,9,4,1,1,0.069126,0.222222222222222,1.1521,16.6666666666667,64330.0062836625,180459.85
R Studio,Shopping,0,23,Free,Everyone,Shopping,2016-07-08,8,2016,8900,5000,0,7,2,1,,8,2,0.0046,2,0.00258426966292135,0.561797752808989,204691.669811321,204691.669811321
CG Creative Sets: 2D/3D Artist,News_and_magazines,1,117,Free,Everyone,News & Magazines,2016-06-22,22,2016,5000,10000,0,6,3,1,,30,5,0.0117,3,0.0234,2,121595.671328671,121595.671328671
United Ag Cooperative,Business,1,0,Free,Everyone,Business,2018-04-27,27,2018,4200,5,0,4,,0,4.4,21,3,0,,0,0.00119047619047619,17597.0037878788,17597.0037878788
Plug-in app (System AC),Tools,0,126,Free,Everyone,Tools,2017-06-08,8,2017,11000,10000,0,6,,,4,23,4,0.0126,,0.0114545454545455,0.909090909090909,300009.696252466,300009.696252466
Modern Counter Global Strike 3D,Game,1,297,Free,Teen,Action,2018-03-28,28,2018,48000,50000,0,3,1,2,4.1,31,5,0.00594,0.5,0.0061875,1.04166666666667,651322.235800344,473128.723404255
BW Map mobile,Travel_and_local,0,57,Free,Everyone,Travel & Local,2018-05-31,31,2018,32000,10000,0,5,3,2,4,13,3,0.0057,1.5,0.00178125,0.3125,160462.488721805,160462.488721805
Talking Tom & Ben News,Family,1,1131937,Free,Everyone,Entertainment,2018-04-30,30,2018,41000,1e+08,0,4,2,4,4.1,22,5,0.01131937,0.5,27.6082195121951,2439.0243902439,64330.0062836625,109901.17827298
Rejoin Your Ex,Social,1,0,Free,Everyone,Social,2015-05-26,26,2015,29000,100,0,5,2,0,,14,3,0,0,0,0.00344827586206897,1290707.14925373,1290707.14925373
9th stage,Food_and_drink,1,454,Free,Everyone,Food & Drink,2018-03-28,28,2018,16000,1e+05,0,3,2,0,,9,2,0.00454,0,0.028375,6.25,61498.2985074627,61498.2985074627
BZ Zombie VR,Game,1,12,Free,Mature 17+,Action,2018-02-07,7,2018,98000,1000,0,2,1,4,4.4,12,3,0.012,0.25,0.000122448979591837,0.0102040816326531,651322.235800344,473128.723404255
AMBW Dating App: Asian Men Black Women Interracial,Dating,0,2,Paid,Mature 17+,Dating,2017-01-21,21,2017,17000,100,7.99,1,1,0,4,50,8,0.02,0,0.000117647058823529,0.00588235294117647,19562.57,19562.57
Room Painting Ideas,House_and_home,0,4450,Free,Everyone,House & Home,2015-03-17,17,2015,7600,1e+06,0,3,1,7,3,19,3,0.00445,0.142857142857143,0.585526315789474,131.578947368421,22359.9285714286,22359.9285714286
Zowi App,Family,1,516,Free,Everyone,Education,2016-12-21,21,2016,21000,50000,0,12,1,4,,8,2,0.01032,0.25,0.0245714285714286,2.38095238095238,64330.0062836625,33912.0745920746
iHoroscope - 2018 Daily Horoscope & Astrology,Lifestyle,1,398307,Free,Everyone,Lifestyle,2018-07-25,25,2018,19000,1e+07,0,7,,,,45,7,0.0398307,,20.9635263157895,526.315789473684,38441.6803652968,38441.6803652968
Toca Life: Hospital,Education,1,3528,Paid,Everyone,Education,2018-06-12,12,2018,24000,1e+05,3.99,6,1,1,4.4,19,3,0.03528,1,0.147,4.16666666666667,154339.301369863,33912.0745920746
Azpen eReader,Books_and_reference,0,156,Free,Everyone,Books & Reference,2018-02-15,15,2018,42000,5e+05,0,2,3,1,2.2,13,2,0.000312,3,0.00371428571428571,11.9047619047619,49897.8571428571,49076.9917355372
AX Timesheets App for Dynamics,Business,1,0,Free,Everyone,Business,2018-02-15,15,2018,9000,10,0,2,1,0,4.4,30,5,0,0,0,0.00111111111111111,17597.0037878788,17597.0037878788
EY Africa,Business,1,0,Free,Everyone,Business,2018-04-09,9,2018,8400,100,0,4,1,42,4.2,9,2,0,0.0238095238095238,0,0.0119047619047619,17597.0037878788,17597.0037878788
Disney Crossy Road,Family,1,514088,Free,Everyone,Arcade,2018-05-30,30,2018,83000,1e+07,0,5,3,,4.4,18,3,0.0514088,,6.19383132530121,120.481927710843,64330.0062836625,337298.201754386
Social network all in one 2018,Social,1,1403,Free,Everyone,Social,2018-01-30,30,2018,3700,1e+05,0,1,1,0,4,30,6,0.01403,0,0.379189189189189,27.027027027027,1290707.14925373,1290707.14925373
Makeup Editor -Beauty Photo Editor & Selfie Camera,Photography,1,3378,Free,Mature 17+,Photography,2018-07-25,25,2018,30000,1e+06,0,7,1,7,4.1,50,8,0.003378,0.142857142857143,0.1126,33.3333333333333,379773.567901235,379773.567901235
Coursera: Online courses,Education,1,90481,Free,Everyone,Education,2018-07-27,27,2018,,5e+06,0,7,,,,24,3,0.0180962,,,,154339.301369863,33912.0745920746
Marcus Theatres,Entertainment,0,2639,Free,Everyone,Entertainment,2018-02-07,7,2018,8500,1e+05,0,2,2,9,6,15,2,0.02639,0.222222222222222,0.310470588235294,11.7647058823529,356413.698113208,109901.17827298
Display Phone Screen On TV,Tools,0,9895,Free,Everyone,Tools,2017-02-03,3,2017,2700,1e+06,0,2,2,0,4.2,26,5,0.009895,0,3.66481481481482,370.37037037037,300009.696252466,300009.696252466
BZ-Digital,News_and_magazines,1,4,Free,Everyone,News & Magazines,2018-03-05,5,2018,36000,100,0,3,2,4,4.4,10,1,0.04,0.5,0.000111111111111111,0.00277777777777778,121595.671328671,121595.671328671
AP Calculus BC: Practice Tests and Flashcards,Family,0,5,Free,Everyone,Education,2018-07-03,3,2018,5400,1000,0,7,1,6,4.1,45,7,0.005,0.166666666666667,0.000925925925925926,0.185185185185185,64330.0062836625,33912.0745920746
Easy Origami Ideas,Art_and_design,1,1015,Free,Everyone,Art & Design,2018-01-06,6,2018,11000,1e+05,0,1,1,1,4.1,18,3,0.01015,1,0.0922727272727273,9.09090909090909,10157.65625,9918
Evolution CP & IV Calculator for pokemon,Family,1,9465,Free,Everyone,Entertainment,2018-07-08,8,2018,43000,5e+05,0,7,0,4,4.4,40,7,0.01893,0,0.220116279069767,11.6279069767442,64330.0062836625,109901.17827298
CT Abdomen,Family,1,7,Free,Everyone,Education,2017-02-21,21,2017,62000,1000,0,2,1,0,4.4,10,2,0.007,0,0.000112903225806452,0.0161290322580645,64330.0062836625,33912.0745920746
English for Everyone,Family,0,429,Free,Everyone,Education,2018-07-06,6,2018,18000,10000,0,7,3,9,4.4,20,3,0.0429,0.333333333333333,0.0238333333333333,0.555555555555556,64330.0062836625,33912.0745920746
Clean Master Lite - For Low-End Phone,Tools,1,2246379,Free,Everyone,Tools,2018-06-28,28,2018,5100,5e+07,0,6,2,1,4,37,7,0.04492758,2,440.466470588235,9803.92156862745,300009.696252466,300009.696252466
Koi Live Wallpaper,Personalization,1,14026,Paid,Everyone,Personalization,2014-06-24,24,2014,12000,1e+05,0.99,6,1,9,2.2,18,3,0.14026,0.111111111111111,1.16883333333333,8.33333333333333,131428.547169811,131428.547169811
CB Outdoors,Family,0,5,Free,Everyone,Education,2017-05-30,30,2017,12000,1000,0,5,1,,,11,2,0.005,,0.000416666666666667,0.0833333333333333,64330.0062836625,33912.0745920746
Daily Horoscope,Lifestyle,1,407589,Free,Everyone,Lifestyle,2018-07-20,20,2018,,1e+07,0,7,,,,15,2,0.0407589,,,,38441.6803652968,38441.6803652968
Au Pair Legend,Lifestyle,1,28,Free,Everyone,Lifestyle,2018-07-19,19,2018,8800,1000,0,7,3,5,5,14,3,0.028,0.6,0.00318181818181818,0.113636363636364,38441.6803652968,38441.6803652968
The Grand Wars: San Andreas,Game,0,29990,Free,Teen,Action,2017-12-08,8,2017,96000,1e+06,0,12,,,2.3,27,5,0.02999,,0.312395833333333,10.4166666666667,651322.235800344,473128.723404255
Southland CU,Finance,0,109,Free,Everyone,Finance,2017-07-20,20,2017,2800,10000,0,7,1,1,2.3,12,2,0.0109,1,0.0389285714285714,3.57142857142857,44660.4509803922,44660.4509803922
Fisher-Price® Smart Connect™,Tools,0,422,Free,Everyone,Tools,2018-02-23,23,2018,72000,50000,0,2,2,4,4.4,28,3,0.00844,0.5,0.00586111111111111,0.694444444444445,300009.696252466,300009.696252466
Cube BR LWP simple,Personalization,1,19,Free,Everyone,Personalization,2016-11-25,25,2016,206,1000,0,11,1,5,2.1,18,4,0.019,0.2,0.0922330097087379,4.85436893203884,131428.547169811,131428.547169811
Sports Tracker Running Cycling,Health_and_fitness,1,190247,Free,Everyone,Health & Fitness,2018-08-03,3,2018,,5e+06,0,8,,,,30,4,0.0380494,,,,59146.6588235294,58696.7965116279
The Great Wobo Escape Ep. 1,Game,1,5449,Free,Everyone 10+,Action,2016-09-13,13,2016,20000,5e+05,0,9,1,0,4.1,27,6,0.010898,0,0.27245,25,651322.235800344,473128.723404255
DP Battle,Family,1,132,Free,Everyone,Entertainment,2017-03-26,26,2017,2500,5000,0,3,2,0,,9,2,0.0264,0,0.0528,2,64330.0062836625,109901.17827298
Ez Screen Recorder (no ad),Video_players,1,8696,Free,Everyone,Video Players & Editors,2018-06-03,3,2018,14000,1e+05,0,6,2,1,5,26,5,0.08696,2,0.621142857142857,7.14285714285714,329225.936170213,326179.12631579
TNEB Quick Pay Easy,Finance,1,28,Free,Teen,Finance,2018-01-29,29,2018,1400,10000,0,1,1,,3,19,4,0.0028,,0.02,7.14285714285714,44660.4509803922,44660.4509803922
Manga Master - Best manga & comic reader,Comics,1,24005,Free,Mature 17+,Comics,2018-07-04,4,2018,4900,5e+05,0,7,1,1,4.1,40,8,0.04801,1,4.89897959183674,102.040816326531,52594.2702702703,52594.2702702703
Baby Panda’s Juice Shop,Family,1,19230,Free,Everyone,Education,2018-07-12,12,2018,45000,5e+06,0,7,8,25,,23,4,0.003846,0.32,0.427333333333333,111.111111111111,64330.0062836625,33912.0745920746
Dr. McDougall Mobile Cookbook,Health_and_fitness,0,76,Paid,Everyone,Health & Fitness,2015-01-26,26,2015,1200,1000,4.99,1,1,1,2.2,29,4,0.076,1,0.0633333333333333,0.833333333333333,59146.6588235294,58696.7965116279
Ay Yıldız Duvar Kağıtları,Personalization,1,3,Free,Everyone,Personalization,2017-12-10,10,2017,6500,100,0,12,1,0,4.3,25,4,0.03,0,0.000461538461538462,0.0153846153846154,131428.547169811,131428.547169811
Little Fire Station,Family,1,3762,Free,Everyone,Education,2018-07-02,2,2018,44000,1e+06,0,7,1,47,4.3,19,3,0.003762,0.0212765957446809,0.0855,22.7272727272727,64330.0062836625,33912.0745920746
CONNECT: The Mobile CX Summit,Productivity,1,0,Free,Teen,Productivity,2018-08-01,1,2018,18000,50,0,8,7,18,5,29,5,0,0.388888888888889,0,0.00277777777777778,152064.489270386,152064.489270386
Groovebook Photo Books & Gifts,Photography,0,21159,Free,Everyone,Photography,2018-01-31,31,2018,36000,5e+05,0,1,2,1,,30,5,0.042318,2,0.58775,13.8888888888889,379773.567901235,379773.567901235
Dr. 2048,Family,0,1985,Free,Everyone,Puzzle,2017-12-30,30,2017,3500,5e+05,0,12,1,5,4.1,8,2,0.00397,0.2,0.567142857142857,142.857142857143,64330.0062836625,180459.85
I'm Ping Pong King :),Sports,1,29864,Free,Everyone,Sports,2018-07-26,26,2018,40000,1e+06,0,7,2,5,4.1,21,5,0.029864,0.4,0.7466,25,102687.961904762,169652.671296296
Open in WhatsApp (click to chat),Tools,1,12121,Free,Everyone,Tools,2018-08-01,1,2018,79,1e+06,0,8,1,12,,32,6,0.012121,0.0833333333333333,153.430379746835,12658.2278481013,300009.696252466,300009.696252466
BI-LO,Lifestyle,0,43,Free,Everyone,Lifestyle,2018-07-11,11,2018,30000,10000,0,7,2,0,4.1,5,1,0.0043,0,0.00143333333333333,0.333333333333333,38441.6803652968,38441.6803652968
